spec.jvm2008.report.run.location=SUNSPACE12
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM)2 Quad CPU    Q9400  @ 2.66GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=4027
benchmark-name=check, mode=normal, start=Wed Jun 29 05:50:25 BST 2016, end=Wed Jun 29 05:50:25 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=scimark.fft.small, mod=warmup, start=Wed Jun 29 07:12:07 BST 2016, end=Wed Jun 29 07:14:07 BST 2016, operations=419.53970146081326, operationsPerMinute=209.76985073040663, mode=normal, start=Wed Jun 29 07:14:09 BST 2016, end=Wed Jun 29 07:18:09 BST 2016, operations=852.1819033242907, operationsPerMinute=213.04547583107268
benchmark-name=scimark.lu.small, mod=warmup, start=Wed Jun 29 07:18:11 BST 2016, end=Wed Jun 29 07:20:11 BST 2016, operations=260.7579906481283, operationsPerMinute=130.37899532406416, mode=normal, start=Wed Jun 29 07:20:14 BST 2016, end=Wed Jun 29 07:24:14 BST 2016, operations=521.1867309477161, operationsPerMinute=130.29668273692903
benchmark-name=scimark.sor.small, mod=warmup, start=Wed Jun 29 07:24:17 BST 2016, end=Wed Jun 29 07:26:17 BST 2016, operations=244.6726928410967, operationsPerMinute=122.33634642054835, mode=normal, start=Wed Jun 29 07:26:21 BST 2016, end=Wed Jun 29 07:30:21 BST 2016, operations=491.4246456749435, operationsPerMinute=122.85616141873588
benchmark-name=scimark.sparse.small, mod=warmup, start=Wed Jun 29 07:30:23 BST 2016, end=Wed Jun 29 07:32:23 BST 2016, operations=211.64366503981444, operationsPerMinute=105.82183251990722, mode=normal, start=Wed Jun 29 07:32:26 BST 2016, end=Wed Jun 29 07:36:26 BST 2016, operations=418.65123644762195, operationsPerMinute=104.66280911190549
benchmark-name=scimark.monte_carlo, mod=warmup, start=Wed Jun 29 07:36:30 BST 2016, end=Wed Jun 29 07:38:30 BST 2016, operations=77.80122830039095, operationsPerMinute=38.90061415019547, mode=normal, start=Wed Jun 29 07:38:40 BST 2016, end=Wed Jun 29 07:42:40 BST 2016, operations=156.92465935881688, operationsPerMinute=39.23116483970422
benchmark-name=serial, mod=warmup, start=Wed Jun 29 07:42:51 BST 2016, end=Wed Jun 29 07:44:51 BST 2016, operations=111.38762597943949, operationsPerMinute=55.693812989719746, mode=normal, start=Wed Jun 29 07:44:58 BST 2016, end=Wed Jun 29 07:48:58 BST 2016, operations=210.68715786004432, operationsPerMinute=52.67178946501108
benchmark-name=sunflow, mod=warmup, start=Wed Jun 29 07:49:06 BST 2016, end=Wed Jun 29 07:51:06 BST 2016, operations=87.36409470855806, operationsPerMinute=43.68204735427903, mode=normal, start=Wed Jun 29 07:51:08 BST 2016, end=Wed Jun 29 07:55:08 BST 2016, operations=173.22095679551444, operationsPerMinute=43.30523919887861
benchmark-name=xml.transform, mod=warmup, start=Wed Jun 29 07:55:59 BST 2016, end=Wed Jun 29 07:57:59 BST 2016, operations=254.1137591056205, operationsPerMinute=127.05687955281024, mode=normal, start=Wed Jun 29 07:58:02 BST 2016, end=Wed Jun 29 08:02:02 BST 2016, operations=567.8812921325326, operationsPerMinute=141.97032303313316
benchmark-name=xml.validation, mod=warmup, start=Wed Jun 29 08:02:05 BST 2016, end=Wed Jun 29 08:04:05 BST 2016, operations=368.9650174479906, operationsPerMinute=184.4825087239953, mode=normal, start=Wed Jun 29 08:04:07 BST 2016, end=Wed Jun 29 08:08:07 BST 2016, operations=829.6707094844656, operationsPerMinute=207.4176773711164
##-nursultan-##,SUNSPACE12,Intel(R) Core(TM)2 Quad CPU    Q9400  @ 2.66GHz,4,4027,check,Wed Jun 29 05:50:25 BST 2016,Wed Jun 29 05:50:25 BST 2016,1.0,769.2307692307693,startup.helloworld,Wed Jun 29 05:50:25 BST 2016,Wed Jun 29 05:50:25 BST 2016,1.0,320.85561497326205,startup.compiler.compiler,Wed Jun 29 05:50:25 BST 2016,Wed Jun 29 05:50:53 BST 2016,1.0,2.1284898364610307,startup.compiler.sunflow,Wed Jun 29 05:50:53 BST 2016,Wed Jun 29 05:51:00 BST 2016,1.0,9.289363678588018,startup.compress,Wed Jun 29 05:51:00 BST 2016,Wed Jun 29 05:51:02 BST 2016,1.0,27.675276752767527,startup.crypto.aes,Wed Jun 29 05:51:02 BST 2016,Wed Jun 29 05:51:14 BST 2016,1.0,5.080870522482852,startup.crypto.rsa,Wed Jun 29 05:51:14 BST 2016,Wed Jun 29 05:51:23 BST 2016,1.0,6.665926008221309,startup.crypto.signverify,Wed Jun 29 05:51:23 BST 2016,Wed Jun 29 05:51:30 BST 2016,1.0,7.962840079628401,startup.mpegaudio,Wed Jun 29 05:51:30 BST 2016,Wed Jun 29 05:51:35 BST 2016,1.0,13.44688480502017,startup.scimark.fft,Wed Jun 29 05:51:35 BST 2016,Wed Jun 29 05:51:36 BST 2016,1.0,42.28329809725159,startup.scimark.lu,Wed Jun 29 05:51:36 BST 2016,Wed Jun 29 05:51:38 BST 2016,1.0,28.275212064090482,startup.scimark.monte_carlo,Wed Jun 29 05:51:38 BST 2016,Wed Jun 29 05:51:48 BST 2016,1.0,6.34719136781974,startup.scimark.sor,Wed Jun 29 05:51:48 BST 2016,Wed Jun 29 05:51:50 BST 2016,1.0,27.86809103576405,startup.scimark.sparse,Wed Jun 29 05:51:50 BST 2016,Wed Jun 29 05:51:52 BST 2016,1.0,24.66091245376079,startup.serial,Wed Jun 29 05:51:52 BST 2016,Wed Jun 29 05:51:57 BST 2016,1.0,12.610340479192939,startup.sunflow,Wed Jun 29 05:51:57 BST 2016,Wed Jun 29 05:52:05 BST 2016,1.0,7.930214115781126,startup.xml.transform,Wed Jun 29 05:52:05 BST 2016,Wed Jun 29 05:52:51 BST 2016,1.0,1.2812026221947002,startup.xml.validation,Wed Jun 29 05:52:51 BST 2016,Wed Jun 29 05:52:53 BST 2016,1.0,34.32494279176201,compiler.compiler,Wed Jun 29 05:53:14 BST 2016,Wed Jun 29 05:55:14 BST 2016,293.16501116727574,146.58250558363787,Wed Jun 29 05:55:17 BST 2016,Wed Jun 29 05:59:17 BST 2016,584.6589219070295,146.16473047675737,compiler.sunflow,Wed Jun 29 05:59:25 BST 2016,Wed Jun 29 06:01:25 BST 2016,105.90347530846981,52.951737654234904,Wed Jun 29 06:01:31 BST 2016,Wed Jun 29 06:05:31 BST 2016,225.28642420946989,56.32160605236747,compress,Wed Jun 29 06:05:38 BST 2016,Wed Jun 29 06:07:38 BST 2016,249.61350348603466,124.80675174301733,Wed Jun 29 06:07:41 BST 2016,Wed Jun 29 06:11:41 BST 2016,500.6322366802775,125.15805917006938,crypto.aes,Wed Jun 29 06:11:44 BST 2016,Wed Jun 29 06:13:44 BST 2016,71.18462560287782,35.59231280143891,Wed Jun 29 06:13:52 BST 2016,Wed Jun 29 06:17:52 BST 2016,149.85032597326654,37.462581493316634,crypto.rsa,Wed Jun 29 06:18:03 BST 2016,Wed Jun 29 06:20:03 BST 2016,151.30368866157298,75.65184433078649,Wed Jun 29 06:20:07 BST 2016,Wed Jun 29 06:24:07 BST 2016,302.44393899184115,75.61098474796029,crypto.signverify,Wed Jun 29 06:24:13 BST 2016,Wed Jun 29 06:26:13 BST 2016,240.74271496007495,120.37135748003747,Wed Jun 29 06:26:16 BST 2016,Wed Jun 29 06:30:16 BST 2016,483.0224745530539,120.75561863826347,derby,Wed Jun 29 06:31:07 BST 2016,Wed Jun 29 06:33:07 BST 2016,168.42826419105523,84.21413209552762,Wed Jun 29 06:33:12 BST 2016,Wed Jun 29 06:37:12 BST 2016,339.5670874189278,84.89177185473196,mpegaudio,Wed Jun 29 06:37:16 BST 2016,Wed Jun 29 06:39:16 BST 2016,114.06647746090351,57.03323873045176,Wed Jun 29 06:39:22 BST 2016,Wed Jun 29 06:43:22 BST 2016,227.8702524708653,56.967563117716324,scimark.fft.large,Wed Jun 29 06:43:30 BST 2016,Wed Jun 29 06:45:30 BST 2016,32.679231802156664,16.339615901078332,Wed Jun 29 06:45:50 BST 2016,Wed Jun 29 06:49:50 BST 2016,66.42201477022874,16.605503692557186,scimark.lu.large,Wed Jun 29 06:50:07 BST 2016,Wed Jun 29 06:52:07 BST 2016,8.845354899722606,4.422677449861303,Wed Jun 29 06:53:31 BST 2016,Wed Jun 29 06:57:31 BST 2016,17.643656644405645,4.410914161101411,scimark.sor.large,Wed Jun 29 06:58:44 BST 2016,Wed Jun 29 07:00:44 BST 2016,49.39471892535248,24.69735946267624,Wed Jun 29 07:00:59 BST 2016,Wed Jun 29 07:04:59 BST 2016,98.76806273623693,24.692015684059232,scimark.sparse.large,Wed Jun 29 07:05:11 BST 2016,Wed Jun 29 07:07:11 BST 2016,28.3454214707716,14.1727107353858,Wed Jun 29 07:07:39 BST 2016,Wed Jun 29 07:11:39 BST 2016,56.67078769437573,14.167696923593933,scimark.fft.small,Wed Jun 29 07:12:07 BST 2016,Wed Jun 29 07:14:07 BST 2016,419.53970146081326,209.76985073040663,Wed Jun 29 07:14:09 BST 2016,Wed Jun 29 07:18:09 BST 2016,852.1819033242907,213.04547583107268,scimark.lu.small,Wed Jun 29 07:18:11 BST 2016,Wed Jun 29 07:20:11 BST 2016,260.7579906481283,130.37899532406416,Wed Jun 29 07:20:14 BST 2016,Wed Jun 29 07:24:14 BST 2016,521.1867309477161,130.29668273692903,scimark.sor.small,Wed Jun 29 07:24:17 BST 2016,Wed Jun 29 07:26:17 BST 2016,244.6726928410967,122.33634642054835,Wed Jun 29 07:26:21 BST 2016,Wed Jun 29 07:30:21 BST 2016,491.4246456749435,122.85616141873588,scimark.sparse.small,Wed Jun 29 07:30:23 BST 2016,Wed Jun 29 07:32:23 BST 2016,211.64366503981444,105.82183251990722,Wed Jun 29 07:32:26 BST 2016,Wed Jun 29 07:36:26 BST 2016,418.65123644762195,104.66280911190549,scimark.monte_carlo,Wed Jun 29 07:36:30 BST 2016,Wed Jun 29 07:38:30 BST 2016,77.80122830039095,38.90061415019547,Wed Jun 29 07:38:40 BST 2016,Wed Jun 29 07:42:40 BST 2016,156.92465935881688,39.23116483970422,serial,Wed Jun 29 07:42:51 BST 2016,Wed Jun 29 07:44:51 BST 2016,111.38762597943949,55.693812989719746,Wed Jun 29 07:44:58 BST 2016,Wed Jun 29 07:48:58 BST 2016,210.68715786004432,52.67178946501108,sunflow,Wed Jun 29 07:49:06 BST 2016,Wed Jun 29 07:51:06 BST 2016,87.36409470855806,43.68204735427903,Wed Jun 29 07:51:08 BST 2016,Wed Jun 29 07:55:08 BST 2016,173.22095679551444,43.30523919887861,xml.transform,Wed Jun 29 07:55:59 BST 2016,Wed Jun 29 07:57:59 BST 2016,254.1137591056205,127.05687955281024,Wed Jun 29 07:58:02 BST 2016,Wed Jun 29 08:02:02 BST 2016,567.8812921325326,141.97032303313316,xml.validation,Wed Jun 29 08:02:05 BST 2016,Wed Jun 29 08:04:05 BST 2016,368.9650174479906,184.4825087239953,Wed Jun 29 08:04:07 BST 2016,Wed Jun 29 08:08:07 BST 2016,829.6707094844656,207.4176773711164
