spec.jvm2008.report.run.location=UNION80
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Thu Jun 30 18:36:03 BST 2016, end=Thu Jun 30 18:36:03 BST 2016, operations=1.0, operationsPerMinute=1000.0
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 30 18:36:03 BST 2016, end=Thu Jun 30 18:36:03 BST 2016, operations=1.0, operationsPerMinute=410.958904109589
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 30 18:36:03 BST 2016, end=Thu Jun 30 18:36:28 BST 2016, operations=1.0, operationsPerMinute=2.44140625
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 30 18:36:28 BST 2016, end=Thu Jun 30 18:36:33 BST 2016, operations=1.0, operationsPerMinute=11.716461628588167
benchmark-name=startup.compress, mode=normal, start=Thu Jun 30 18:36:33 BST 2016, end=Thu Jun 30 18:36:35 BST 2016, operations=1.0, operationsPerMinute=34.82298316889147
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 30 18:36:35 BST 2016, end=Thu Jun 30 18:36:45 BST 2016, operations=1.0, operationsPerMinute=5.891594658287509
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 30 18:36:45 BST 2016, end=Thu Jun 30 18:36:53 BST 2016, operations=1.0, operationsPerMinute=6.934812760055478
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 30 18:36:53 BST 2016, end=Thu Jun 30 18:37:01 BST 2016, operations=1.0, operationsPerMinute=8.210180623973727
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 30 18:37:01 BST 2016, end=Thu Jun 30 18:37:04 BST 2016, operations=1.0, operationsPerMinute=17.921146953405017
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 30 18:37:04 BST 2016, end=Thu Jun 30 18:37:05 BST 2016, operations=1.0, operationsPerMinute=60.06006006006006
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 30 18:37:05 BST 2016, end=Thu Jun 30 18:37:06 BST 2016, operations=1.0, operationsPerMinute=45.662100456621005
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 30 18:37:06 BST 2016, end=Thu Jun 30 18:37:14 BST 2016, operations=1.0, operationsPerMinute=8.275862068965518
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 30 18:37:14 BST 2016, end=Thu Jun 30 18:37:16 BST 2016, operations=1.0, operationsPerMinute=32.18884120171674
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 30 18:37:16 BST 2016, end=Thu Jun 30 18:37:17 BST 2016, operations=1.0, operationsPerMinute=38.70967741935484
benchmark-name=startup.serial, mode=normal, start=Thu Jun 30 18:37:17 BST 2016, end=Thu Jun 30 18:37:20 BST 2016, operations=1.0, operationsPerMinute=18.365472910927455
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 30 18:37:20 BST 2016, end=Thu Jun 30 18:37:27 BST 2016, operations=1.0, operationsPerMinute=8.640552995391705
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 30 18:37:27 BST 2016, end=Thu Jun 30 18:37:57 BST 2016, operations=1.0, operationsPerMinute=2.0080321285140563
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 30 18:37:57 BST 2016, end=Thu Jun 30 18:37:59 BST 2016, operations=1.0, operationsPerMinute=44.642857142857146
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 30 18:38:17 BST 2016, end=Thu Jun 30 18:40:17 BST 2016, operations=339.5787704551554, operationsPerMinute=169.7893852275777, mode=normal, start=Thu Jun 30 18:40:19 BST 2016, end=Thu Jun 30 18:44:19 BST 2016, operations=690.0055904701743, operationsPerMinute=172.50139761754357
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 30 18:44:25 BST 2016, end=Thu Jun 30 18:46:25 BST 2016, operations=133.84964374786608, operationsPerMinute=66.92482187393304, mode=normal, start=Thu Jun 30 18:46:31 BST 2016, end=Thu Jun 30 18:50:31 BST 2016, operations=262.5664520930739, operationsPerMinute=65.64161302326848
benchmark-name=compress, mod=warmup, start=Thu Jun 30 18:50:36 BST 2016, end=Thu Jun 30 18:52:36 BST 2016, operations=263.0723221803446, operationsPerMinute=131.5361610901723, mode=normal, start=Thu Jun 30 18:52:39 BST 2016, end=Thu Jun 30 18:56:39 BST 2016, operations=526.0720661848475, operationsPerMinute=131.51801654621187
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 30 18:56:41 BST 2016, end=Thu Jun 30 18:58:41 BST 2016, operations=83.11113196536071, operationsPerMinute=41.555565982680356, mode=normal, start=Thu Jun 30 18:58:50 BST 2016, end=Thu Jun 30 19:02:50 BST 2016, operations=175.36155651489176, operationsPerMinute=43.84038912872294
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 30 19:02:58 BST 2016, end=Thu Jun 30 19:04:58 BST 2016, operations=139.73288572773822, operationsPerMinute=69.86644286386911, mode=normal, start=Thu Jun 30 19:05:04 BST 2016, end=Thu Jun 30 19:09:04 BST 2016, operations=283.8059781520717, operationsPerMinute=70.95149453801793
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 30 19:09:10 BST 2016, end=Thu Jun 30 19:11:10 BST 2016, operations=244.94028946149484, operationsPerMinute=122.47014473074742, mode=normal, start=Thu Jun 30 19:11:12 BST 2016, end=Thu Jun 30 19:15:12 BST 2016, operations=493.22151412266516, operationsPerMinute=123.30537853066629
benchmark-name=derby, mod=warmup, start=Thu Jun 30 19:16:48 BST 2016, end=Thu Jun 30 19:18:48 BST 2016, operations=194.47597249720343, operationsPerMinute=97.23798624860171, mode=normal, start=Thu Jun 30 19:18:50 BST 2016, end=Thu Jun 30 19:22:50 BST 2016, operations=390.90964710913204, operationsPerMinute=97.72741177728301
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 30 19:22:55 BST 2016, end=Thu Jun 30 19:24:55 BST 2016, operations=130.40484414952982, operationsPerMinute=65.20242207476491, mode=normal, start=Thu Jun 30 19:25:00 BST 2016, end=Thu Jun 30 19:29:00 BST 2016, operations=260.95385814193924, operationsPerMinute=65.23846453548481
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 30 19:29:07 BST 2016, end=Thu Jun 30 19:31:07 BST 2016, operations=84.17886193072266, operationsPerMinute=42.08943096536133, mode=normal, start=Thu Jun 30 19:31:13 BST 2016, end=Thu Jun 30 19:35:13 BST 2016, operations=158.0088545406641, operationsPerMinute=39.50221363516602
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 30 19:35:21 BST 2016, end=Thu Jun 30 19:37:21 BST 2016, operations=19.70397096744258, operationsPerMinute=9.85198548372129, mode=normal, start=Thu Jun 30 19:37:48 BST 2016, end=Thu Jun 30 19:41:48 BST 2016, operations=39.48394176540638, operationsPerMinute=9.870985441351595
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 30 19:42:10 BST 2016, end=Thu Jun 30 19:44:10 BST 2016, operations=53.39357972903887, operationsPerMinute=26.696789864519435, mode=normal, start=Thu Jun 30 19:44:23 BST 2016, end=Thu Jun 30 19:48:23 BST 2016, operations=106.98883637800233, operationsPerMinute=26.747209094500583
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 30 19:48:37 BST 2016, end=Thu Jun 30 19:50:37 BST 2016, operations=59.360509257223136, operationsPerMinute=29.680254628611568, mode=normal, start=Thu Jun 30 19:50:47 BST 2016, end=Thu Jun 30 19:54:47 BST 2016, operations=118.76552584561547, operationsPerMinute=29.691381461403868
