spec.jvm2008.report.run.location=GREY-05
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jul 03 18:20:40 BST 2016, end=Sun Jul 03 18:20:40 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=scimark.fft.small, mod=warmup, start=Sun Jul 03 19:38:01 BST 2016, end=Sun Jul 03 19:40:01 BST 2016, operations=700.5205307600802, operationsPerMinute=350.2602653800401, mode=normal, start=Sun Jul 03 19:40:02 BST 2016, end=Sun Jul 03 19:44:02 BST 2016, operations=1467.920972671006, operationsPerMinute=366.9802431677515
benchmark-name=scimark.lu.small, mod=warmup, start=Sun Jul 03 19:44:03 BST 2016, end=Sun Jul 03 19:46:03 BST 2016, operations=575.3602918064931, operationsPerMinute=287.68014590324657, mode=normal, start=Sun Jul 03 19:46:05 BST 2016, end=Sun Jul 03 19:50:05 BST 2016, operations=1152.7178630379644, operationsPerMinute=288.1794657594911
benchmark-name=scimark.sor.small, mod=warmup, start=Sun Jul 03 19:50:06 BST 2016, end=Sun Jul 03 19:52:06 BST 2016, operations=330.00485307679577, operationsPerMinute=165.00242653839788, mode=normal, start=Sun Jul 03 19:52:09 BST 2016, end=Sun Jul 03 19:56:09 BST 2016, operations=659.6956626216509, operationsPerMinute=164.9239156554127
benchmark-name=scimark.sparse.small, mod=warmup, start=Sun Jul 03 19:56:11 BST 2016, end=Sun Jul 03 19:58:11 BST 2016, operations=504.8240950414984, operationsPerMinute=252.4120475207492, mode=normal, start=Sun Jul 03 19:58:13 BST 2016, end=Sun Jul 03 20:02:13 BST 2016, operations=1023.1890548820872, operationsPerMinute=255.7972637205218
benchmark-name=scimark.monte_carlo, mod=warmup, start=Sun Jul 03 20:02:14 BST 2016, end=Sun Jul 03 20:04:14 BST 2016, operations=119.53418258570973, operationsPerMinute=59.767091292854865, mode=normal, start=Sun Jul 03 20:04:19 BST 2016, end=Sun Jul 03 20:08:19 BST 2016, operations=240.0491473240731, operationsPerMinute=60.01228683101827
benchmark-name=serial, mod=warmup, start=Sun Jul 03 20:08:26 BST 2016, end=Sun Jul 03 20:10:26 BST 2016, operations=239.07305733332186, operationsPerMinute=119.53652866666093, mode=normal, start=Sun Jul 03 20:10:29 BST 2016, end=Sun Jul 03 20:14:29 BST 2016, operations=473.01895779164, operationsPerMinute=118.25473944791
benchmark-name=sunflow, mod=warmup, start=Sun Jul 03 20:14:32 BST 2016, end=Sun Jul 03 20:16:32 BST 2016, operations=179.84990159086763, operationsPerMinute=89.92495079543382, mode=normal, start=Sun Jul 03 20:16:34 BST 2016, end=Sun Jul 03 20:20:34 BST 2016, operations=361.6228070175439, operationsPerMinute=90.40570175438597
benchmark-name=xml.transform, mod=warmup, start=Sun Jul 03 20:20:53 BST 2016, end=Sun Jul 03 20:22:53 BST 2016, operations=533.5893028861076, operationsPerMinute=266.7946514430538, mode=normal, start=Sun Jul 03 20:22:54 BST 2016, end=Sun Jul 03 20:26:54 BST 2016, operations=1034.5994494557199, operationsPerMinute=258.64986236392997
benchmark-name=xml.validation, mod=warmup, start=Sun Jul 03 20:26:56 BST 2016, end=Sun Jul 03 20:28:56 BST 2016, operations=1025.4239089327584, operationsPerMinute=512.7119544663792, mode=normal, start=Sun Jul 03 20:28:57 BST 2016, end=Sun Jul 03 20:32:57 BST 2016, operations=2011.4266352722643, operationsPerMinute=502.8566588180661
##-nursultan-##,GREY-05,Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz,4,8098,check,Sun Jul 03 18:20:40 BST 2016,Sun Jul 03 18:20:40 BST 2016,1.0,1276.595744680851,startup.helloworld,Sun Jul 03 18:20:40 BST 2016,Sun Jul 03 18:20:41 BST 2016,1.0,275.22935779816515,startup.compiler.compiler,Sun Jul 03 18:20:41 BST 2016,Sun Jul 03 18:20:57 BST 2016,1.0,3.723239218119764,startup.compiler.sunflow,Sun Jul 03 18:20:57 BST 2016,Sun Jul 03 18:21:00 BST 2016,1.0,16.7973124300112,startup.compress,Sun Jul 03 18:21:00 BST 2016,Sun Jul 03 18:21:01 BST 2016,1.0,48.701298701298704,startup.crypto.aes,Sun Jul 03 18:21:01 BST 2016,Sun Jul 03 18:21:10 BST 2016,1.0,7.057163020465773,startup.crypto.rsa,Sun Jul 03 18:21:10 BST 2016,Sun Jul 03 18:21:17 BST 2016,1.0,8.079719903043362,startup.crypto.signverify,Sun Jul 03 18:21:17 BST 2016,Sun Jul 03 18:21:24 BST 2016,1.0,8.882309400444116,startup.mpegaudio,Sun Jul 03 18:21:24 BST 2016,Sun Jul 03 18:21:26 BST 2016,1.0,26.52519893899204,startup.scimark.fft,Sun Jul 03 18:21:26 BST 2016,Sun Jul 03 18:21:27 BST 2016,1.0,81.85538881309687,startup.scimark.lu,Sun Jul 03 18:21:27 BST 2016,Sun Jul 03 18:21:28 BST 2016,1.0,66.29834254143647,startup.scimark.monte_carlo,Sun Jul 03 18:21:28 BST 2016,Sun Jul 03 18:21:34 BST 2016,1.0,10.95690284879474,startup.scimark.sor,Sun Jul 03 18:21:34 BST 2016,Sun Jul 03 18:21:35 BST 2016,1.0,42.73504273504273,startup.scimark.sparse,Sun Jul 03 18:21:35 BST 2016,Sun Jul 03 18:21:36 BST 2016,1.0,62.047569803516026,startup.serial,Sun Jul 03 18:21:36 BST 2016,Sun Jul 03 18:21:38 BST 2016,1.0,28.275212064090482,startup.sunflow,Sun Jul 03 18:21:38 BST 2016,Sun Jul 03 18:21:44 BST 2016,1.0,9.404388714733543,startup.xml.transform,Sun Jul 03 18:21:44 BST 2016,Sun Jul 03 18:22:05 BST 2016,1.0,2.972209838014564,startup.xml.validation,Sun Jul 03 18:22:05 BST 2016,Sun Jul 03 18:22:05 BST 2016,1.0,73.98273736128236,compiler.compiler,Sun Jul 03 18:22:17 BST 2016,Sun Jul 03 18:24:17 BST 2016,488.63100036681425,244.31550018340712,Sun Jul 03 18:24:18 BST 2016,Sun Jul 03 18:28:18 BST 2016,1016.4727042995077,254.1181760748769,compiler.sunflow,Sun Jul 03 18:28:23 BST 2016,Sun Jul 03 18:30:23 BST 2016,199.02199431855843,99.51099715927921,Sun Jul 03 18:30:25 BST 2016,Sun Jul 03 18:34:25 BST 2016,396.04747159196603,99.01186789799151,compress,Sun Jul 03 18:34:29 BST 2016,Sun Jul 03 18:36:29 BST 2016,400.9801813590415,200.49009067952076,Sun Jul 03 18:36:31 BST 2016,Sun Jul 03 18:40:31 BST 2016,801.7552880275521,200.43882200688802,crypto.aes,Sun Jul 03 18:40:33 BST 2016,Sun Jul 03 18:42:33 BST 2016,138.72608688426664,69.36304344213332,Sun Jul 03 18:42:37 BST 2016,Sun Jul 03 18:46:37 BST 2016,291.3443177967978,72.83607944919945,crypto.rsa,Sun Jul 03 18:46:42 BST 2016,Sun Jul 03 18:48:42 BST 2016,234.9558271181162,117.4779135590581,Sun Jul 03 18:48:45 BST 2016,Sun Jul 03 18:52:45 BST 2016,467.28599959945194,116.82149989986299,crypto.signverify,Sun Jul 03 18:52:48 BST 2016,Sun Jul 03 18:54:48 BST 2016,405.3166315752367,202.65831578761836,Sun Jul 03 18:54:50 BST 2016,Sun Jul 03 18:58:50 BST 2016,814.2111562027886,203.55278905069716,derby,Sun Jul 03 18:59:30 BST 2016,Sun Jul 03 19:01:30 BST 2016,360.8072264818621,180.40361324093104,Sun Jul 03 19:01:32 BST 2016,Sun Jul 03 19:05:32 BST 2016,723.1943502185807,180.79858755464517,mpegaudio,Sun Jul 03 19:05:35 BST 2016,Sun Jul 03 19:07:35 BST 2016,208.37372166758996,104.18686083379498,Sun Jul 03 19:07:39 BST 2016,Sun Jul 03 19:11:39 BST 2016,416.7643041752463,104.19107604381158,scimark.fft.large,Sun Jul 03 19:11:42 BST 2016,Sun Jul 03 19:13:42 BST 2016,76.79305323410605,38.39652661705303,Sun Jul 03 19:13:50 BST 2016,Sun Jul 03 19:17:50 BST 2016,143.7286665375939,35.93216663439848,scimark.lu.large,Sun Jul 03 19:17:59 BST 2016,Sun Jul 03 19:19:59 BST 2016,13.837845520985425,6.918922760492713,Sun Jul 03 19:20:44 BST 2016,Sun Jul 03 19:24:44 BST 2016,27.71823673454536,6.92955918363634,scimark.sor.large,Sun Jul 03 19:25:14 BST 2016,Sun Jul 03 19:27:14 BST 2016,74.57776027070358,37.28888013535179,Sun Jul 03 19:27:23 BST 2016,Sun Jul 03 19:31:23 BST 2016,149.0203236657412,37.2550809164353,scimark.sparse.large,Sun Jul 03 19:31:34 BST 2016,Sun Jul 03 19:33:34 BST 2016,43.1551699433551,21.57758497167755,Sun Jul 03 19:33:45 BST 2016,Sun Jul 03 19:37:45 BST 2016,86.39771529498383,21.599428823745956,scimark.fft.small,Sun Jul 03 19:38:01 BST 2016,Sun Jul 03 19:40:01 BST 2016,700.5205307600802,350.2602653800401,Sun Jul 03 19:40:02 BST 2016,Sun Jul 03 19:44:02 BST 2016,1467.920972671006,366.9802431677515,scimark.lu.small,Sun Jul 03 19:44:03 BST 2016,Sun Jul 03 19:46:03 BST 2016,575.3602918064931,287.68014590324657,Sun Jul 03 19:46:05 BST 2016,Sun Jul 03 19:50:05 BST 2016,1152.7178630379644,288.1794657594911,scimark.sor.small,Sun Jul 03 19:50:06 BST 2016,Sun Jul 03 19:52:06 BST 2016,330.00485307679577,165.00242653839788,Sun Jul 03 19:52:09 BST 2016,Sun Jul 03 19:56:09 BST 2016,659.6956626216509,164.9239156554127,scimark.sparse.small,Sun Jul 03 19:56:11 BST 2016,Sun Jul 03 19:58:11 BST 2016,504.8240950414984,252.4120475207492,Sun Jul 03 19:58:13 BST 2016,Sun Jul 03 20:02:13 BST 2016,1023.1890548820872,255.7972637205218,scimark.monte_carlo,Sun Jul 03 20:02:14 BST 2016,Sun Jul 03 20:04:14 BST 2016,119.53418258570973,59.767091292854865,Sun Jul 03 20:04:19 BST 2016,Sun Jul 03 20:08:19 BST 2016,240.0491473240731,60.01228683101827,serial,Sun Jul 03 20:08:26 BST 2016,Sun Jul 03 20:10:26 BST 2016,239.07305733332186,119.53652866666093,Sun Jul 03 20:10:29 BST 2016,Sun Jul 03 20:14:29 BST 2016,473.01895779164,118.25473944791,sunflow,Sun Jul 03 20:14:32 BST 2016,Sun Jul 03 20:16:32 BST 2016,179.84990159086763,89.92495079543382,Sun Jul 03 20:16:34 BST 2016,Sun Jul 03 20:20:34 BST 2016,361.6228070175439,90.40570175438597,xml.transform,Sun Jul 03 20:20:53 BST 2016,Sun Jul 03 20:22:53 BST 2016,533.5893028861076,266.7946514430538,Sun Jul 03 20:22:54 BST 2016,Sun Jul 03 20:26:54 BST 2016,1034.5994494557199,258.64986236392997,xml.validation,Sun Jul 03 20:26:56 BST 2016,Sun Jul 03 20:28:56 BST 2016,1025.4239089327584,512.7119544663792,Sun Jul 03 20:28:57 BST 2016,Sun Jul 03 20:32:57 BST 2016,2011.4266352722643,502.8566588180661
