spec.jvm2008.report.run.location=GREY-05
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jul 04 16:42:26 BST 2016, end=Mon Jul 04 16:42:26 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=scimark.fft.small, mod=warmup, start=Mon Jul 04 17:59:47 BST 2016, end=Mon Jul 04 18:01:47 BST 2016, operations=731.5052350397942, operationsPerMinute=365.7526175198971, mode=normal, start=Mon Jul 04 18:01:48 BST 2016, end=Mon Jul 04 18:05:48 BST 2016, operations=1469.518641736836, operationsPerMinute=367.379660434209
benchmark-name=scimark.lu.small, mod=warmup, start=Mon Jul 04 18:05:48 BST 2016, end=Mon Jul 04 18:07:48 BST 2016, operations=575.4494548208804, operationsPerMinute=287.7247274104402, mode=normal, start=Mon Jul 04 18:07:50 BST 2016, end=Mon Jul 04 18:11:50 BST 2016, operations=1153.1188277458746, operationsPerMinute=288.27970693646864
benchmark-name=scimark.sor.small, mod=warmup, start=Mon Jul 04 18:11:51 BST 2016, end=Mon Jul 04 18:13:51 BST 2016, operations=330.85659113282793, operationsPerMinute=165.42829556641396, mode=normal, start=Mon Jul 04 18:13:54 BST 2016, end=Mon Jul 04 18:17:54 BST 2016, operations=661.5204603984868, operationsPerMinute=165.3801150996217
benchmark-name=scimark.sparse.small, mod=warmup, start=Mon Jul 04 18:17:56 BST 2016, end=Mon Jul 04 18:19:56 BST 2016, operations=512.5936919360831, operationsPerMinute=256.29684596804157, mode=normal, start=Mon Jul 04 18:19:57 BST 2016, end=Mon Jul 04 18:23:57 BST 2016, operations=1025.2106837606839, operationsPerMinute=256.30267094017097
benchmark-name=scimark.monte_carlo, mod=warmup, start=Mon Jul 04 18:23:59 BST 2016, end=Mon Jul 04 18:25:59 BST 2016, operations=120.25894661637713, operationsPerMinute=60.129473308188565, mode=normal, start=Mon Jul 04 18:26:06 BST 2016, end=Mon Jul 04 18:30:06 BST 2016, operations=240.14679928819646, operationsPerMinute=60.036699822049115
benchmark-name=serial, mod=warmup, start=Mon Jul 04 18:30:13 BST 2016, end=Mon Jul 04 18:32:13 BST 2016, operations=238.58762854023587, operationsPerMinute=119.29381427011793, mode=normal, start=Mon Jul 04 18:32:16 BST 2016, end=Mon Jul 04 18:36:16 BST 2016, operations=458.4195938916496, operationsPerMinute=114.6048984729124
benchmark-name=sunflow, mod=warmup, start=Mon Jul 04 18:36:19 BST 2016, end=Mon Jul 04 18:38:19 BST 2016, operations=174.7824981636457, operationsPerMinute=87.39124908182285, mode=normal, start=Mon Jul 04 18:38:20 BST 2016, end=Mon Jul 04 18:42:20 BST 2016, operations=349.9596710229283, operationsPerMinute=87.48991775573208
benchmark-name=xml.transform, mod=warmup, start=Mon Jul 04 18:42:42 BST 2016, end=Mon Jul 04 18:44:42 BST 2016, operations=486.0056422979021, operationsPerMinute=243.00282114895106, mode=normal, start=Mon Jul 04 18:44:44 BST 2016, end=Mon Jul 04 18:48:44 BST 2016, operations=993.2441830403309, operationsPerMinute=248.31104576008272
benchmark-name=xml.validation, mod=warmup, start=Mon Jul 04 18:48:45 BST 2016, end=Mon Jul 04 18:50:45 BST 2016, operations=1023.0069095322408, operationsPerMinute=511.5034547661204, mode=normal, start=Mon Jul 04 18:50:46 BST 2016, end=Mon Jul 04 18:54:46 BST 2016, operations=2033.5813031586267, operationsPerMinute=508.3953257896567
##-nursultan-##,GREY-05,Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz,4,8098,check,Mon Jul 04 16:42:26 BST 2016,Mon Jul 04 16:42:26 BST 2016,1.0,1276.595744680851,startup.helloworld,Mon Jul 04 16:42:26 BST 2016,Mon Jul 04 16:42:26 BST 2016,1.0,645.1612903225806,startup.compiler.compiler,Mon Jul 04 16:42:26 BST 2016,Mon Jul 04 16:42:41 BST 2016,1.0,4.039859951521681,startup.compiler.sunflow,Mon Jul 04 16:42:41 BST 2016,Mon Jul 04 16:42:45 BST 2016,1.0,17.40644038294169,startup.compress,Mon Jul 04 16:42:45 BST 2016,Mon Jul 04 16:42:46 BST 2016,1.0,48.661800486618006,startup.crypto.aes,Mon Jul 04 16:42:46 BST 2016,Mon Jul 04 16:42:54 BST 2016,1.0,7.083825265643448,startup.crypto.rsa,Mon Jul 04 16:42:54 BST 2016,Mon Jul 04 16:43:02 BST 2016,1.0,7.962840079628401,startup.crypto.signverify,Mon Jul 04 16:43:02 BST 2016,Mon Jul 04 16:43:08 BST 2016,1.0,9.223674096848578,startup.mpegaudio,Mon Jul 04 16:43:08 BST 2016,Mon Jul 04 16:43:11 BST 2016,1.0,26.7022696929239,startup.scimark.fft,Mon Jul 04 16:43:11 BST 2016,Mon Jul 04 16:43:11 BST 2016,1.0,83.68200836820084,startup.scimark.lu,Mon Jul 04 16:43:11 BST 2016,Mon Jul 04 16:43:12 BST 2016,1.0,67.49156355455568,startup.scimark.monte_carlo,Mon Jul 04 16:43:12 BST 2016,Mon Jul 04 16:43:18 BST 2016,1.0,10.834236186348862,startup.scimark.sor,Mon Jul 04 16:43:18 BST 2016,Mon Jul 04 16:43:19 BST 2016,1.0,42.73504273504273,startup.scimark.sparse,Mon Jul 04 16:43:19 BST 2016,Mon Jul 04 16:43:20 BST 2016,1.0,59.171597633136095,startup.serial,Mon Jul 04 16:43:20 BST 2016,Mon Jul 04 16:43:23 BST 2016,1.0,26.33889376646181,startup.sunflow,Mon Jul 04 16:43:23 BST 2016,Mon Jul 04 16:43:29 BST 2016,1.0,9.335615372646647,startup.xml.transform,Mon Jul 04 16:43:29 BST 2016,Mon Jul 04 16:43:49 BST 2016,1.0,2.983887010145216,startup.xml.validation,Mon Jul 04 16:43:49 BST 2016,Mon Jul 04 16:43:50 BST 2016,1.0,75.37688442211055,compiler.compiler,Mon Jul 04 16:44:01 BST 2016,Mon Jul 04 16:46:01 BST 2016,493.12836698208355,246.56418349104177,Mon Jul 04 16:46:02 BST 2016,Mon Jul 04 16:50:02 BST 2016,1010.1606502533737,252.54016256334342,compiler.sunflow,Mon Jul 04 16:50:07 BST 2016,Mon Jul 04 16:52:07 BST 2016,200.11914865082457,100.05957432541229,Mon Jul 04 16:52:11 BST 2016,Mon Jul 04 16:56:11 BST 2016,394.27427870711387,98.56856967677847,compress,Mon Jul 04 16:56:15 BST 2016,Mon Jul 04 16:58:15 BST 2016,401.0197606332217,200.50988031661086,Mon Jul 04 16:58:17 BST 2016,Mon Jul 04 17:02:17 BST 2016,796.4948386695519,199.12370966738797,crypto.aes,Mon Jul 04 17:02:18 BST 2016,Mon Jul 04 17:04:18 BST 2016,139.21646363258102,69.60823181629051,Mon Jul 04 17:04:23 BST 2016,Mon Jul 04 17:08:23 BST 2016,293.9669167423689,73.49172918559222,crypto.rsa,Mon Jul 04 17:08:29 BST 2016,Mon Jul 04 17:10:29 BST 2016,236.456406876016,118.228203438008,Mon Jul 04 17:10:32 BST 2016,Mon Jul 04 17:14:32 BST 2016,472.7088926010015,118.17722315025037,crypto.signverify,Mon Jul 04 17:14:36 BST 2016,Mon Jul 04 17:16:36 BST 2016,407.0896844957553,203.54484224787765,Mon Jul 04 17:16:37 BST 2016,Mon Jul 04 17:20:37 BST 2016,814.8584950389361,203.71462375973402,derby,Mon Jul 04 17:21:19 BST 2016,Mon Jul 04 17:23:19 BST 2016,360.81942232143444,180.40971116071722,Mon Jul 04 17:23:21 BST 2016,Mon Jul 04 17:27:21 BST 2016,722.1998764020092,180.5499691005023,mpegaudio,Mon Jul 04 17:27:23 BST 2016,Mon Jul 04 17:29:23 BST 2016,208.02618476017417,104.01309238008709,Mon Jul 04 17:29:27 BST 2016,Mon Jul 04 17:33:27 BST 2016,416.4409935024114,104.11024837560285,scimark.fft.large,Mon Jul 04 17:33:31 BST 2016,Mon Jul 04 17:35:31 BST 2016,77.9068860230775,38.95344301153875,Mon Jul 04 17:35:39 BST 2016,Mon Jul 04 17:39:39 BST 2016,146.48831982406668,36.62207995601667,scimark.lu.large,Mon Jul 04 17:39:48 BST 2016,Mon Jul 04 17:41:48 BST 2016,13.622902356362234,6.811451178181117,Mon Jul 04 17:42:34 BST 2016,Mon Jul 04 17:46:34 BST 2016,27.79939114108658,6.949847785271645,scimark.sor.large,Mon Jul 04 17:47:01 BST 2016,Mon Jul 04 17:49:01 BST 2016,74.62191532050932,37.31095766025466,Mon Jul 04 17:49:10 BST 2016,Mon Jul 04 17:53:10 BST 2016,149.2025124887948,37.3006281221987,scimark.sparse.large,Mon Jul 04 17:53:21 BST 2016,Mon Jul 04 17:55:21 BST 2016,42.82110850501284,21.41055425250642,Mon Jul 04 17:55:33 BST 2016,Mon Jul 04 17:59:33 BST 2016,86.20547032991858,21.551367582479646,scimark.fft.small,Mon Jul 04 17:59:47 BST 2016,Mon Jul 04 18:01:47 BST 2016,731.5052350397942,365.7526175198971,Mon Jul 04 18:01:48 BST 2016,Mon Jul 04 18:05:48 BST 2016,1469.518641736836,367.379660434209,scimark.lu.small,Mon Jul 04 18:05:48 BST 2016,Mon Jul 04 18:07:48 BST 2016,575.4494548208804,287.7247274104402,Mon Jul 04 18:07:50 BST 2016,Mon Jul 04 18:11:50 BST 2016,1153.1188277458746,288.27970693646864,scimark.sor.small,Mon Jul 04 18:11:51 BST 2016,Mon Jul 04 18:13:51 BST 2016,330.85659113282793,165.42829556641396,Mon Jul 04 18:13:54 BST 2016,Mon Jul 04 18:17:54 BST 2016,661.5204603984868,165.3801150996217,scimark.sparse.small,Mon Jul 04 18:17:56 BST 2016,Mon Jul 04 18:19:56 BST 2016,512.5936919360831,256.29684596804157,Mon Jul 04 18:19:57 BST 2016,Mon Jul 04 18:23:57 BST 2016,1025.2106837606839,256.30267094017097,scimark.monte_carlo,Mon Jul 04 18:23:59 BST 2016,Mon Jul 04 18:25:59 BST 2016,120.25894661637713,60.129473308188565,Mon Jul 04 18:26:06 BST 2016,Mon Jul 04 18:30:06 BST 2016,240.14679928819646,60.036699822049115,serial,Mon Jul 04 18:30:13 BST 2016,Mon Jul 04 18:32:13 BST 2016,238.58762854023587,119.29381427011793,Mon Jul 04 18:32:16 BST 2016,Mon Jul 04 18:36:16 BST 2016,458.4195938916496,114.6048984729124,sunflow,Mon Jul 04 18:36:19 BST 2016,Mon Jul 04 18:38:19 BST 2016,174.7824981636457,87.39124908182285,Mon Jul 04 18:38:20 BST 2016,Mon Jul 04 18:42:20 BST 2016,349.9596710229283,87.48991775573208,xml.transform,Mon Jul 04 18:42:42 BST 2016,Mon Jul 04 18:44:42 BST 2016,486.0056422979021,243.00282114895106,Mon Jul 04 18:44:44 BST 2016,Mon Jul 04 18:48:44 BST 2016,993.2441830403309,248.31104576008272,xml.validation,Mon Jul 04 18:48:45 BST 2016,Mon Jul 04 18:50:45 BST 2016,1023.0069095322408,511.5034547661204,Mon Jul 04 18:50:46 BST 2016,Mon Jul 04 18:54:46 BST 2016,2033.5813031586267,508.3953257896567
