spec.jvm2008.report.run.location=UNION41
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:21:04 BST 2016, end=Thu May 26 14:21:04 BST 2016, operations=1.0, operationsPerMinute=731.7073170731708
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:21:04 BST 2016, end=Thu May 26 14:21:06 BST 2016, operations=1.0, operationsPerMinute=39.973351099267155
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:21:06 BST 2016, end=Thu May 26 14:21:35 BST 2016, operations=1.0, operationsPerMinute=2.028534721752654
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:21:35 BST 2016, end=Thu May 26 14:21:41 BST 2016, operations=1.0, operationsPerMinute=10.699001426533524
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:21:41 BST 2016, end=Thu May 26 14:21:42 BST 2016, operations=1.0, operationsPerMinute=41.78272980501393
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:21:42 BST 2016, end=Thu May 26 14:21:52 BST 2016, operations=1.0, operationsPerMinute=6.20347394540943
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:21:52 BST 2016, end=Thu May 26 14:22:00 BST 2016, operations=1.0, operationsPerMinute=7.649158592554819
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:22:00 BST 2016, end=Thu May 26 14:22:06 BST 2016, operations=1.0, operationsPerMinute=8.883624518803671
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:22:06 BST 2016, end=Thu May 26 14:22:09 BST 2016, operations=1.0, operationsPerMinute=21.156558533145276
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:22:09 BST 2016, end=Thu May 26 14:22:10 BST 2016, operations=1.0, operationsPerMinute=72.90400972053463
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:22:10 BST 2016, end=Thu May 26 14:22:11 BST 2016, operations=1.0, operationsPerMinute=55.14705882352941
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:22:11 BST 2016, end=Thu May 26 14:22:18 BST 2016, operations=1.0, operationsPerMinute=9.505703422053232
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:22:18 BST 2016, end=Thu May 26 14:22:19 BST 2016, operations=1.0, operationsPerMinute=39.037085230969424
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:22:19 BST 2016, end=Thu May 26 14:22:20 BST 2016, operations=1.0, operationsPerMinute=48.115477145148354
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:22:20 BST 2016, end=Thu May 26 14:22:23 BST 2016, operations=1.0, operationsPerMinute=21.945866861741038
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:22:23 BST 2016, end=Thu May 26 14:22:30 BST 2016, operations=1.0, operationsPerMinute=8.594757198109154
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:22:30 BST 2016, end=Thu May 26 14:22:56 BST 2016, operations=1.0, operationsPerMinute=2.2734161867232494
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:22:56 BST 2016, end=Thu May 26 14:22:58 BST 2016, operations=1.0, operationsPerMinute=44.642857142857146
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:23:15 BST 2016, end=Thu May 26 14:25:15 BST 2016, operations=437.7275444228675, operationsPerMinute=218.86377221143374, mode=normal, start=Thu May 26 14:25:18 BST 2016, end=Thu May 26 14:29:18 BST 2016, operations=919.7628080651366, operationsPerMinute=229.94070201628415
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:29:26 BST 2016, end=Thu May 26 14:31:26 BST 2016, operations=183.06443422673465, operationsPerMinute=91.53221711336732, mode=normal, start=Thu May 26 14:31:33 BST 2016, end=Thu May 26 14:35:33 BST 2016, operations=364.9014730655962, operationsPerMinute=91.22536826639904
benchmark-name=compress, mod=warmup, start=Thu May 26 14:35:41 BST 2016, end=Thu May 26 14:37:41 BST 2016, operations=481.2447692928532, operationsPerMinute=240.6223846464266, mode=normal, start=Thu May 26 14:37:45 BST 2016, end=Thu May 26 14:41:45 BST 2016, operations=964.575436020114, operationsPerMinute=241.1438590050285
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:41:48 BST 2016, end=Thu May 26 14:43:48 BST 2016, operations=127.44596024766007, operationsPerMinute=63.722980123830034, mode=normal, start=Thu May 26 14:43:58 BST 2016, end=Thu May 26 14:47:58 BST 2016, operations=262.77038707747704, operationsPerMinute=65.69259676936926
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:48:10 BST 2016, end=Thu May 26 14:50:10 BST 2016, operations=225.8056648716119, operationsPerMinute=112.90283243580595, mode=normal, start=Thu May 26 14:50:17 BST 2016, end=Thu May 26 14:54:17 BST 2016, operations=449.97404829036464, operationsPerMinute=112.49351207259116
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:54:23 BST 2016, end=Thu May 26 14:56:23 BST 2016, operations=387.0637389883425, operationsPerMinute=193.53186949417125, mode=normal, start=Thu May 26 14:56:27 BST 2016, end=Thu May 26 15:00:27 BST 2016, operations=734.1183461166621, operationsPerMinute=183.52958652916553
benchmark-name=derby, mod=warmup, start=Thu May 26 15:02:17 BST 2016, end=Thu May 26 15:04:17 BST 2016, operations=317.490024906808, operationsPerMinute=158.745012453404, mode=normal, start=Thu May 26 15:04:21 BST 2016, end=Thu May 26 15:08:21 BST 2016, operations=625.7641747253875, operationsPerMinute=156.44104368134688
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:08:27 BST 2016, end=Thu May 26 15:10:27 BST 2016, operations=217.06989542369786, operationsPerMinute=108.53494771184893, mode=normal, start=Thu May 26 15:10:36 BST 2016, end=Thu May 26 15:14:36 BST 2016, operations=435.50193166129264, operationsPerMinute=108.87548291532316
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:14:42 BST 2016, end=Thu May 26 15:16:42 BST 2016, operations=97.88577354398177, operationsPerMinute=48.942886771990885, mode=normal, start=Thu May 26 15:16:59 BST 2016, end=Thu May 26 15:20:59 BST 2016, operations=172.9329100392967, operationsPerMinute=43.233227509824175
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:21:14 BST 2016, end=Thu May 26 15:23:14 BST 2016, operations=20.29083923352647, operationsPerMinute=10.145419616763235, mode=normal, start=Thu May 26 15:24:12 BST 2016, end=Thu May 26 15:28:12 BST 2016, operations=40.516045300854195, operationsPerMinute=10.129011325213549
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:29:20 BST 2016, end=Thu May 26 15:31:20 BST 2016, operations=117.82669257901748, operationsPerMinute=58.91334628950874, mode=normal, start=Thu May 26 15:31:31 BST 2016, end=Thu May 26 15:35:31 BST 2016, operations=240.27265715417803, operationsPerMinute=60.06816428854451
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:35:44 BST 2016, end=Thu May 26 15:37:44 BST 2016, operations=62.04771721638739, operationsPerMinute=31.023858608193695, mode=normal, start=Thu May 26 15:38:02 BST 2016, end=Thu May 26 15:42:02 BST 2016, operations=124.52067843071737, operationsPerMinute=31.130169607679342
