spec.jvm2008.report.run.location=BARN-06
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jul 01 14:38:46 BST 2016, end=Fri Jul 01 14:38:46 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=scimark.fft.small, mod=warmup, start=Fri Jul 01 15:55:50 BST 2016, end=Fri Jul 01 15:57:50 BST 2016, operations=728.8031815909613, operationsPerMinute=364.4015907954807, mode=normal, start=Fri Jul 01 15:57:51 BST 2016, end=Fri Jul 01 16:01:51 BST 2016, operations=1418.2064917987336, operationsPerMinute=354.5516229496834
benchmark-name=scimark.lu.small, mod=warmup, start=Fri Jul 01 16:01:52 BST 2016, end=Fri Jul 01 16:03:52 BST 2016, operations=563.6618894396445, operationsPerMinute=281.83094471982224, mode=normal, start=Fri Jul 01 16:03:54 BST 2016, end=Fri Jul 01 16:07:54 BST 2016, operations=1141.5022403946973, operationsPerMinute=285.3755600986743
benchmark-name=scimark.sor.small, mod=warmup, start=Fri Jul 01 16:07:55 BST 2016, end=Fri Jul 01 16:09:55 BST 2016, operations=330.39873492130243, operationsPerMinute=165.19936746065122, mode=normal, start=Fri Jul 01 16:09:58 BST 2016, end=Fri Jul 01 16:13:58 BST 2016, operations=657.6282962368857, operationsPerMinute=164.40707405922143
benchmark-name=scimark.sparse.small, mod=warmup, start=Fri Jul 01 16:14:00 BST 2016, end=Fri Jul 01 16:16:00 BST 2016, operations=511.82733273747715, operationsPerMinute=255.91366636873857, mode=normal, start=Fri Jul 01 16:16:02 BST 2016, end=Fri Jul 01 16:20:02 BST 2016, operations=1019.6942699258575, operationsPerMinute=254.92356748146437
benchmark-name=scimark.monte_carlo, mod=warmup, start=Fri Jul 01 16:20:03 BST 2016, end=Fri Jul 01 16:22:03 BST 2016, operations=119.20295985008026, operationsPerMinute=59.60147992504013, mode=normal, start=Fri Jul 01 16:22:10 BST 2016, end=Fri Jul 01 16:26:10 BST 2016, operations=238.14723684846865, operationsPerMinute=59.53680921211716
benchmark-name=serial, mod=warmup, start=Fri Jul 01 16:26:17 BST 2016, end=Fri Jul 01 16:28:17 BST 2016, operations=240.3506499532706, operationsPerMinute=120.1753249766353, mode=normal, start=Fri Jul 01 16:28:20 BST 2016, end=Fri Jul 01 16:32:20 BST 2016, operations=478.7764286710627, operationsPerMinute=119.69410716776568
benchmark-name=sunflow, mod=warmup, start=Fri Jul 01 16:32:24 BST 2016, end=Fri Jul 01 16:34:24 BST 2016, operations=172.58916745571952, operationsPerMinute=86.29458372785976, mode=normal, start=Fri Jul 01 16:34:25 BST 2016, end=Fri Jul 01 16:38:25 BST 2016, operations=343.2313858190524, operationsPerMinute=85.8078464547631
benchmark-name=xml.transform, mod=warmup, start=Fri Jul 01 16:38:47 BST 2016, end=Fri Jul 01 16:40:47 BST 2016, operations=531.9014137679017, operationsPerMinute=265.95070688395083, mode=normal, start=Fri Jul 01 16:40:48 BST 2016, end=Fri Jul 01 16:44:48 BST 2016, operations=1006.7338224026718, operationsPerMinute=251.68345560066794
benchmark-name=xml.validation, mod=warmup, start=Fri Jul 01 16:44:50 BST 2016, end=Fri Jul 01 16:46:50 BST 2016, operations=1022.0609091882003, operationsPerMinute=511.03045459410015, mode=normal, start=Fri Jul 01 16:46:51 BST 2016, end=Fri Jul 01 16:50:51 BST 2016, operations=2011.4583676916434, operationsPerMinute=502.86459192291085
##-nursultan-##,BARN-06,Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz,4,8098,check,Fri Jul 01 14:38:46 BST 2016,Fri Jul 01 14:38:46 BST 2016,1.0,1935.483870967742,startup.helloworld,Fri Jul 01 14:38:46 BST 2016,Fri Jul 01 14:38:47 BST 2016,1.0,638.2978723404256,startup.compiler.compiler,Fri Jul 01 14:38:47 BST 2016,Fri Jul 01 14:39:00 BST 2016,1.0,4.47227191413238,startup.compiler.sunflow,Fri Jul 01 14:39:00 BST 2016,Fri Jul 01 14:39:03 BST 2016,1.0,18.231540565177756,startup.compress,Fri Jul 01 14:39:03 BST 2016,Fri Jul 01 14:39:05 BST 2016,1.0,48.701298701298704,startup.crypto.aes,Fri Jul 01 14:39:05 BST 2016,Fri Jul 01 14:39:13 BST 2016,1.0,7.14881448826403,startup.crypto.rsa,Fri Jul 01 14:39:13 BST 2016,Fri Jul 01 14:39:20 BST 2016,1.0,8.029978586723768,startup.crypto.signverify,Fri Jul 01 14:39:20 BST 2016,Fri Jul 01 14:39:27 BST 2016,1.0,8.94454382826476,startup.mpegaudio,Fri Jul 01 14:39:27 BST 2016,Fri Jul 01 14:39:29 BST 2016,1.0,26.714158504007123,startup.scimark.fft,Fri Jul 01 14:39:29 BST 2016,Fri Jul 01 14:39:30 BST 2016,1.0,83.56545961002786,startup.scimark.lu,Fri Jul 01 14:39:30 BST 2016,Fri Jul 01 14:39:31 BST 2016,1.0,66.29834254143647,startup.scimark.monte_carlo,Fri Jul 01 14:39:31 BST 2016,Fri Jul 01 14:39:36 BST 2016,1.0,10.926971407758149,startup.scimark.sor,Fri Jul 01 14:39:36 BST 2016,Fri Jul 01 14:39:38 BST 2016,1.0,42.25352112676056,startup.scimark.sparse,Fri Jul 01 14:39:38 BST 2016,Fri Jul 01 14:39:39 BST 2016,1.0,61.09979633401222,startup.serial,Fri Jul 01 14:39:39 BST 2016,Fri Jul 01 14:39:41 BST 2016,1.0,28.694404591104735,startup.sunflow,Fri Jul 01 14:39:41 BST 2016,Fri Jul 01 14:39:47 BST 2016,1.0,9.426551453260016,startup.xml.transform,Fri Jul 01 14:39:47 BST 2016,Fri Jul 01 14:40:08 BST 2016,1.0,2.9248318221702254,startup.xml.validation,Fri Jul 01 14:40:08 BST 2016,Fri Jul 01 14:40:09 BST 2016,1.0,73.98273736128236,compiler.compiler,Fri Jul 01 14:40:19 BST 2016,Fri Jul 01 14:42:19 BST 2016,490.65790517389206,245.32895258694603,Fri Jul 01 14:42:21 BST 2016,Fri Jul 01 14:46:21 BST 2016,1001.3032741986096,250.3258185496524,compiler.sunflow,Fri Jul 01 14:46:24 BST 2016,Fri Jul 01 14:48:24 BST 2016,201.9352611117157,100.96763055585785,Fri Jul 01 14:48:28 BST 2016,Fri Jul 01 14:52:28 BST 2016,390.15688878206134,97.53922219551534,compress,Fri Jul 01 14:52:30 BST 2016,Fri Jul 01 14:54:30 BST 2016,399.8724478977665,199.93622394888325,Fri Jul 01 14:54:32 BST 2016,Fri Jul 01 14:58:32 BST 2016,800.5881208050525,200.14703020126314,crypto.aes,Fri Jul 01 14:58:34 BST 2016,Fri Jul 01 15:00:34 BST 2016,139.78913190616356,69.89456595308178,Fri Jul 01 15:00:40 BST 2016,Fri Jul 01 15:04:40 BST 2016,293.21942035328266,73.30485508832066,crypto.rsa,Fri Jul 01 15:04:45 BST 2016,Fri Jul 01 15:06:45 BST 2016,237.68802288209542,118.84401144104771,Fri Jul 01 15:06:48 BST 2016,Fri Jul 01 15:10:48 BST 2016,474.7387681757579,118.68469204393948,crypto.signverify,Fri Jul 01 15:10:52 BST 2016,Fri Jul 01 15:12:52 BST 2016,406.0143167064541,203.00715835322706,Fri Jul 01 15:12:54 BST 2016,Fri Jul 01 15:16:54 BST 2016,811.9801062437818,202.99502656094546,derby,Fri Jul 01 15:17:16 BST 2016,Fri Jul 01 15:19:16 BST 2016,364.88194739258137,182.44097369629068,Fri Jul 01 15:19:18 BST 2016,Fri Jul 01 15:23:18 BST 2016,683.9814170217012,170.9953542554253,mpegaudio,Fri Jul 01 15:23:20 BST 2016,Fri Jul 01 15:25:20 BST 2016,207.56578234493622,103.78289117246811,Fri Jul 01 15:25:24 BST 2016,Fri Jul 01 15:29:24 BST 2016,415.3625192563445,103.84062981408613,scimark.fft.large,Fri Jul 01 15:29:27 BST 2016,Fri Jul 01 15:31:27 BST 2016,78.38385926613958,39.19192963306979,Fri Jul 01 15:31:35 BST 2016,Fri Jul 01 15:35:35 BST 2016,146.11605419588957,36.529013548972394,scimark.lu.large,Fri Jul 01 15:35:41 BST 2016,Fri Jul 01 15:37:41 BST 2016,13.916803682772715,6.958401841386357,Fri Jul 01 15:38:25 BST 2016,Fri Jul 01 15:42:25 BST 2016,27.898685013524027,6.974671253381007,scimark.sor.large,Fri Jul 01 15:43:08 BST 2016,Fri Jul 01 15:45:08 BST 2016,74.6085958964954,37.3042979482477,Fri Jul 01 15:45:17 BST 2016,Fri Jul 01 15:49:17 BST 2016,149.07547115324263,37.26886778831066,scimark.sparse.large,Fri Jul 01 15:49:27 BST 2016,Fri Jul 01 15:51:27 BST 2016,43.10754563529281,21.553772817646404,Fri Jul 01 15:51:37 BST 2016,Fri Jul 01 15:55:37 BST 2016,86.49787290217866,21.624468225544664,scimark.fft.small,Fri Jul 01 15:55:50 BST 2016,Fri Jul 01 15:57:50 BST 2016,728.8031815909613,364.4015907954807,Fri Jul 01 15:57:51 BST 2016,Fri Jul 01 16:01:51 BST 2016,1418.2064917987336,354.5516229496834,scimark.lu.small,Fri Jul 01 16:01:52 BST 2016,Fri Jul 01 16:03:52 BST 2016,563.6618894396445,281.83094471982224,Fri Jul 01 16:03:54 BST 2016,Fri Jul 01 16:07:54 BST 2016,1141.5022403946973,285.3755600986743,scimark.sor.small,Fri Jul 01 16:07:55 BST 2016,Fri Jul 01 16:09:55 BST 2016,330.39873492130243,165.19936746065122,Fri Jul 01 16:09:58 BST 2016,Fri Jul 01 16:13:58 BST 2016,657.6282962368857,164.40707405922143,scimark.sparse.small,Fri Jul 01 16:14:00 BST 2016,Fri Jul 01 16:16:00 BST 2016,511.82733273747715,255.91366636873857,Fri Jul 01 16:16:02 BST 2016,Fri Jul 01 16:20:02 BST 2016,1019.6942699258575,254.92356748146437,scimark.monte_carlo,Fri Jul 01 16:20:03 BST 2016,Fri Jul 01 16:22:03 BST 2016,119.20295985008026,59.60147992504013,Fri Jul 01 16:22:10 BST 2016,Fri Jul 01 16:26:10 BST 2016,238.14723684846865,59.53680921211716,serial,Fri Jul 01 16:26:17 BST 2016,Fri Jul 01 16:28:17 BST 2016,240.3506499532706,120.1753249766353,Fri Jul 01 16:28:20 BST 2016,Fri Jul 01 16:32:20 BST 2016,478.7764286710627,119.69410716776568,sunflow,Fri Jul 01 16:32:24 BST 2016,Fri Jul 01 16:34:24 BST 2016,172.58916745571952,86.29458372785976,Fri Jul 01 16:34:25 BST 2016,Fri Jul 01 16:38:25 BST 2016,343.2313858190524,85.8078464547631,xml.transform,Fri Jul 01 16:38:47 BST 2016,Fri Jul 01 16:40:47 BST 2016,531.9014137679017,265.95070688395083,Fri Jul 01 16:40:48 BST 2016,Fri Jul 01 16:44:48 BST 2016,1006.7338224026718,251.68345560066794,xml.validation,Fri Jul 01 16:44:50 BST 2016,Fri Jul 01 16:46:50 BST 2016,1022.0609091882003,511.03045459410015,Fri Jul 01 16:46:51 BST 2016,Fri Jul 01 16:50:51 BST 2016,2011.4583676916434,502.86459192291085
