spec.jvm2008.report.run.location=GREY-05
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Tue Jul 05 04:21:30 BST 2016, end=Tue Jul 05 04:21:30 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=scimark.fft.small, mod=warmup, start=Tue Jul 05 05:38:42 BST 2016, end=Tue Jul 05 05:40:42 BST 2016, operations=723.8552606375865, operationsPerMinute=361.92763031879326, mode=normal, start=Tue Jul 05 05:40:43 BST 2016, end=Tue Jul 05 05:44:43 BST 2016, operations=1401.2255168926017, operationsPerMinute=350.30637922315043
benchmark-name=scimark.lu.small, mod=warmup, start=Tue Jul 05 05:44:44 BST 2016, end=Tue Jul 05 05:46:44 BST 2016, operations=576.9014886368229, operationsPerMinute=288.45074431841147, mode=normal, start=Tue Jul 05 05:46:46 BST 2016, end=Tue Jul 05 05:50:46 BST 2016, operations=1154.0757182453478, operationsPerMinute=288.51892956133696
benchmark-name=scimark.sor.small, mod=warmup, start=Tue Jul 05 05:50:47 BST 2016, end=Tue Jul 05 05:52:47 BST 2016, operations=330.4283950045299, operationsPerMinute=165.21419750226494, mode=normal, start=Tue Jul 05 05:52:49 BST 2016, end=Tue Jul 05 05:56:49 BST 2016, operations=662.0174885969857, operationsPerMinute=165.50437214924642
benchmark-name=scimark.sparse.small, mod=warmup, start=Tue Jul 05 05:56:52 BST 2016, end=Tue Jul 05 05:58:52 BST 2016, operations=512.8620021921813, operationsPerMinute=256.43100109609065, mode=normal, start=Tue Jul 05 05:58:53 BST 2016, end=Tue Jul 05 06:02:53 BST 2016, operations=990.1872275080831, operationsPerMinute=247.54680687702077
benchmark-name=scimark.monte_carlo, mod=warmup, start=Tue Jul 05 06:02:55 BST 2016, end=Tue Jul 05 06:04:55 BST 2016, operations=118.19569537108529, operationsPerMinute=59.097847685542646, mode=normal, start=Tue Jul 05 06:05:01 BST 2016, end=Tue Jul 05 06:09:01 BST 2016, operations=237.06385150102437, operationsPerMinute=59.26596287525609
benchmark-name=serial, mod=warmup, start=Tue Jul 05 06:09:07 BST 2016, end=Tue Jul 05 06:11:07 BST 2016, operations=228.74803820874547, operationsPerMinute=114.37401910437274, mode=normal, start=Tue Jul 05 06:11:10 BST 2016, end=Tue Jul 05 06:15:10 BST 2016, operations=483.44740381488276, operationsPerMinute=120.86185095372069
benchmark-name=sunflow, mod=warmup, start=Tue Jul 05 06:15:13 BST 2016, end=Tue Jul 05 06:17:13 BST 2016, operations=178.38580819593915, operationsPerMinute=89.19290409796957, mode=normal, start=Tue Jul 05 06:17:15 BST 2016, end=Tue Jul 05 06:21:15 BST 2016, operations=360.4301139411099, operationsPerMinute=90.10752848527747
benchmark-name=xml.transform, mod=warmup, start=Tue Jul 05 06:21:36 BST 2016, end=Tue Jul 05 06:23:36 BST 2016, operations=501.57436190641914, operationsPerMinute=250.78718095320957, mode=normal, start=Tue Jul 05 06:23:38 BST 2016, end=Tue Jul 05 06:27:38 BST 2016, operations=1063.8903227492196, operationsPerMinute=265.9725806873049
benchmark-name=xml.validation, mod=warmup, start=Tue Jul 05 06:27:40 BST 2016, end=Tue Jul 05 06:29:40 BST 2016, operations=996.008720253583, operationsPerMinute=498.0043601267915, mode=normal, start=Tue Jul 05 06:29:41 BST 2016, end=Tue Jul 05 06:33:41 BST 2016, operations=1976.8968822435997, operationsPerMinute=494.22422056089994
##-nursultan-##,GREY-05,Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz,4,8098,check,Tue Jul 05 04:21:30 BST 2016,Tue Jul 05 04:21:30 BST 2016,1.0,1276.595744680851,startup.helloworld,Tue Jul 05 04:21:30 BST 2016,Tue Jul 05 04:21:30 BST 2016,1.0,638.2978723404256,startup.compiler.compiler,Tue Jul 05 04:21:30 BST 2016,Tue Jul 05 04:21:45 BST 2016,1.0,4.087193460490464,startup.compiler.sunflow,Tue Jul 05 04:21:45 BST 2016,Tue Jul 05 04:21:48 BST 2016,1.0,17.725258493353028,startup.compress,Tue Jul 05 04:21:48 BST 2016,Tue Jul 05 04:21:50 BST 2016,1.0,48.07692307692308,startup.crypto.aes,Tue Jul 05 04:21:50 BST 2016,Tue Jul 05 04:21:58 BST 2016,1.0,7.070469007777516,startup.crypto.rsa,Tue Jul 05 04:21:58 BST 2016,Tue Jul 05 04:22:06 BST 2016,1.0,8.046131151937777,startup.crypto.signverify,Tue Jul 05 04:22:06 BST 2016,Tue Jul 05 04:22:12 BST 2016,1.0,8.986071589036992,startup.mpegaudio,Tue Jul 05 04:22:12 BST 2016,Tue Jul 05 04:22:14 BST 2016,1.0,26.714158504007123,startup.scimark.fft,Tue Jul 05 04:22:14 BST 2016,Tue Jul 05 04:22:15 BST 2016,1.0,83.56545961002786,startup.scimark.lu,Tue Jul 05 04:22:15 BST 2016,Tue Jul 05 04:22:16 BST 2016,1.0,67.49156355455568,startup.scimark.monte_carlo,Tue Jul 05 04:22:16 BST 2016,Tue Jul 05 04:22:22 BST 2016,1.0,10.625110678236231,startup.scimark.sor,Tue Jul 05 04:22:22 BST 2016,Tue Jul 05 04:22:23 BST 2016,1.0,42.73504273504273,startup.scimark.sparse,Tue Jul 05 04:22:23 BST 2016,Tue Jul 05 04:22:24 BST 2016,1.0,61.03763987792472,startup.serial,Tue Jul 05 04:22:24 BST 2016,Tue Jul 05 04:22:26 BST 2016,1.0,28.708133971291865,startup.sunflow,Tue Jul 05 04:22:26 BST 2016,Tue Jul 05 04:22:33 BST 2016,1.0,9.357454772301933,startup.xml.transform,Tue Jul 05 04:22:33 BST 2016,Tue Jul 05 04:22:53 BST 2016,1.0,2.9977516862353233,startup.xml.validation,Tue Jul 05 04:22:53 BST 2016,Tue Jul 05 04:22:53 BST 2016,1.0,75.47169811320755,compiler.compiler,Tue Jul 05 04:23:05 BST 2016,Tue Jul 05 04:25:05 BST 2016,497.5863131432021,248.79315657160106,Tue Jul 05 04:25:07 BST 2016,Tue Jul 05 04:29:07 BST 2016,1004.2585885209462,251.06464713023655,compiler.sunflow,Tue Jul 05 04:29:12 BST 2016,Tue Jul 05 04:31:12 BST 2016,200.1311606485513,100.06558032427564,Tue Jul 05 04:31:15 BST 2016,Tue Jul 05 04:35:15 BST 2016,386.7372470715518,96.68431176788795,compress,Tue Jul 05 04:35:18 BST 2016,Tue Jul 05 04:37:18 BST 2016,401.2418656673192,200.6209328336596,Tue Jul 05 04:37:20 BST 2016,Tue Jul 05 04:41:20 BST 2016,802.597793271021,200.64944831775526,crypto.aes,Tue Jul 05 04:41:22 BST 2016,Tue Jul 05 04:43:22 BST 2016,138.03682659164002,69.01841329582001,Tue Jul 05 04:43:27 BST 2016,Tue Jul 05 04:47:27 BST 2016,291.4680588358398,72.86701470895996,crypto.rsa,Tue Jul 05 04:47:32 BST 2016,Tue Jul 05 04:49:32 BST 2016,234.299178407552,117.149589203776,Tue Jul 05 04:49:35 BST 2016,Tue Jul 05 04:53:35 BST 2016,467.29588568387163,116.82397142096791,crypto.signverify,Tue Jul 05 04:53:38 BST 2016,Tue Jul 05 04:55:38 BST 2016,407.7847930971034,203.8923965485517,Tue Jul 05 04:55:40 BST 2016,Tue Jul 05 04:59:40 BST 2016,815.5740627175635,203.89351567939087,derby,Tue Jul 05 05:00:21 BST 2016,Tue Jul 05 05:02:21 BST 2016,361.84504131564074,180.92252065782037,Tue Jul 05 05:02:23 BST 2016,Tue Jul 05 05:06:23 BST 2016,725.1517535150999,181.28793837877498,mpegaudio,Tue Jul 05 05:06:25 BST 2016,Tue Jul 05 05:08:25 BST 2016,208.62569914140835,104.31284957070417,Tue Jul 05 05:08:30 BST 2016,Tue Jul 05 05:12:30 BST 2016,414.0785614525693,103.51964036314233,scimark.fft.large,Tue Jul 05 05:12:33 BST 2016,Tue Jul 05 05:14:33 BST 2016,77.95012344487107,38.975061722435534,Tue Jul 05 05:14:41 BST 2016,Tue Jul 05 05:18:41 BST 2016,144.50243550644842,36.125608876612105,scimark.lu.large,Tue Jul 05 05:18:50 BST 2016,Tue Jul 05 05:20:50 BST 2016,13.915590592780651,6.957795296390326,Tue Jul 05 05:21:33 BST 2016,Tue Jul 05 05:25:33 BST 2016,27.827245215661016,6.956811303915254,scimark.sor.large,Tue Jul 05 05:26:01 BST 2016,Tue Jul 05 05:28:01 BST 2016,74.71678438232172,37.35839219116086,Tue Jul 05 05:28:09 BST 2016,Tue Jul 05 05:32:09 BST 2016,149.2787889460416,37.3196972365104,scimark.sparse.large,Tue Jul 05 05:32:20 BST 2016,Tue Jul 05 05:34:20 BST 2016,43.14262810560228,21.57131405280114,Tue Jul 05 05:34:30 BST 2016,Tue Jul 05 05:38:30 BST 2016,86.7046347904315,21.676158697607875,scimark.fft.small,Tue Jul 05 05:38:42 BST 2016,Tue Jul 05 05:40:42 BST 2016,723.8552606375865,361.92763031879326,Tue Jul 05 05:40:43 BST 2016,Tue Jul 05 05:44:43 BST 2016,1401.2255168926017,350.30637922315043,scimark.lu.small,Tue Jul 05 05:44:44 BST 2016,Tue Jul 05 05:46:44 BST 2016,576.9014886368229,288.45074431841147,Tue Jul 05 05:46:46 BST 2016,Tue Jul 05 05:50:46 BST 2016,1154.0757182453478,288.51892956133696,scimark.sor.small,Tue Jul 05 05:50:47 BST 2016,Tue Jul 05 05:52:47 BST 2016,330.4283950045299,165.21419750226494,Tue Jul 05 05:52:49 BST 2016,Tue Jul 05 05:56:49 BST 2016,662.0174885969857,165.50437214924642,scimark.sparse.small,Tue Jul 05 05:56:52 BST 2016,Tue Jul 05 05:58:52 BST 2016,512.8620021921813,256.43100109609065,Tue Jul 05 05:58:53 BST 2016,Tue Jul 05 06:02:53 BST 2016,990.1872275080831,247.54680687702077,scimark.monte_carlo,Tue Jul 05 06:02:55 BST 2016,Tue Jul 05 06:04:55 BST 2016,118.19569537108529,59.097847685542646,Tue Jul 05 06:05:01 BST 2016,Tue Jul 05 06:09:01 BST 2016,237.06385150102437,59.26596287525609,serial,Tue Jul 05 06:09:07 BST 2016,Tue Jul 05 06:11:07 BST 2016,228.74803820874547,114.37401910437274,Tue Jul 05 06:11:10 BST 2016,Tue Jul 05 06:15:10 BST 2016,483.44740381488276,120.86185095372069,sunflow,Tue Jul 05 06:15:13 BST 2016,Tue Jul 05 06:17:13 BST 2016,178.38580819593915,89.19290409796957,Tue Jul 05 06:17:15 BST 2016,Tue Jul 05 06:21:15 BST 2016,360.4301139411099,90.10752848527747,xml.transform,Tue Jul 05 06:21:36 BST 2016,Tue Jul 05 06:23:36 BST 2016,501.57436190641914,250.78718095320957,Tue Jul 05 06:23:38 BST 2016,Tue Jul 05 06:27:38 BST 2016,1063.8903227492196,265.9725806873049,xml.validation,Tue Jul 05 06:27:40 BST 2016,Tue Jul 05 06:29:40 BST 2016,996.008720253583,498.0043601267915,Tue Jul 05 06:29:41 BST 2016,Tue Jul 05 06:33:41 BST 2016,1976.8968822435997,494.22422056089994
