spec.jvm2008.report.run.location=HULL71
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Tue Jun 21 13:01:57 BST 2016, end=Tue Jun 21 13:01:57 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=scimark.fft.small, mod=warmup, start=Tue Jun 21 14:22:05 BST 2016, end=Tue Jun 21 14:24:05 BST 2016, operations=481.2915606219994, operationsPerMinute=240.6457803109997, mode=normal, start=Tue Jun 21 14:24:06 BST 2016, end=Tue Jun 21 14:28:06 BST 2016, operations=993.4781802090558, operationsPerMinute=248.36954505226396
benchmark-name=scimark.lu.small, mod=warmup, start=Tue Jun 21 14:28:08 BST 2016, end=Tue Jun 21 14:30:08 BST 2016, operations=361.17508507052275, operationsPerMinute=180.58754253526138, mode=normal, start=Tue Jun 21 14:30:10 BST 2016, end=Tue Jun 21 14:34:10 BST 2016, operations=724.5280537015445, operationsPerMinute=181.13201342538613
benchmark-name=scimark.sor.small, mod=warmup, start=Tue Jun 21 14:34:13 BST 2016, end=Tue Jun 21 14:36:13 BST 2016, operations=223.0610370450558, operationsPerMinute=111.5305185225279, mode=normal, start=Tue Jun 21 14:36:16 BST 2016, end=Tue Jun 21 14:40:16 BST 2016, operations=341.83162033257946, operationsPerMinute=85.45790508314487
benchmark-name=scimark.sparse.small, mod=warmup, start=Tue Jun 21 14:42:15 BST 2016, end=Tue Jun 21 14:44:15 BST 2016, operations=307.97857605046545, operationsPerMinute=153.98928802523272, mode=normal, start=Tue Jun 21 14:44:18 BST 2016, end=Tue Jun 21 14:48:18 BST 2016, operations=617.8233734859427, operationsPerMinute=154.45584337148568
benchmark-name=scimark.monte_carlo, mod=warmup, start=Tue Jun 21 14:48:20 BST 2016, end=Tue Jun 21 14:50:20 BST 2016, operations=78.21570084461078, operationsPerMinute=39.10785042230539, mode=normal, start=Tue Jun 21 14:50:29 BST 2016, end=Tue Jun 21 14:54:29 BST 2016, operations=157.28075011786427, operationsPerMinute=39.32018752946607
benchmark-name=serial, mod=warmup, start=Tue Jun 21 14:54:37 BST 2016, end=Tue Jun 21 14:56:37 BST 2016, operations=143.40940661601132, operationsPerMinute=71.70470330800566, mode=normal, start=Tue Jun 21 14:56:42 BST 2016, end=Tue Jun 21 15:00:42 BST 2016, operations=284.46557696760004, operationsPerMinute=71.11639424190001
benchmark-name=sunflow, mod=warmup, start=Tue Jun 21 15:00:48 BST 2016, end=Tue Jun 21 15:02:48 BST 2016, operations=108.33403454340097, operationsPerMinute=54.16701727170049, mode=normal, start=Tue Jun 21 15:02:50 BST 2016, end=Tue Jun 21 15:06:50 BST 2016, operations=216.4479934772731, operationsPerMinute=54.11199836931827
benchmark-name=xml.transform, mod=warmup, start=Tue Jun 21 15:07:29 BST 2016, end=Tue Jun 21 15:09:29 BST 2016, operations=297.66371013324056, operationsPerMinute=148.83185506662028, mode=normal, start=Tue Jun 21 15:09:31 BST 2016, end=Tue Jun 21 15:13:31 BST 2016, operations=525.1287442117602, operationsPerMinute=131.28218605294006
benchmark-name=xml.validation, mod=warmup, start=Tue Jun 21 15:13:36 BST 2016, end=Tue Jun 21 15:15:36 BST 2016, operations=421.4309959320213, operationsPerMinute=210.71549796601064, mode=normal, start=Tue Jun 21 15:15:38 BST 2016, end=Tue Jun 21 15:19:38 BST 2016, operations=1034.5620244160655, operationsPerMinute=258.64050610401637
##-nursultan-##,HULL71,Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz,4,3984,check,Tue Jun 21 13:01:57 BST 2016,Tue Jun 21 13:01:57 BST 2016,1.0,550.4587155963303,startup.helloworld,Tue Jun 21 13:01:57 BST 2016,Tue Jun 21 13:01:58 BST 2016,1.0,63.02521008403362,startup.compiler.compiler,Tue Jun 21 13:01:58 BST 2016,Tue Jun 21 13:02:31 BST 2016,1.0,1.7897625581672831,startup.compiler.sunflow,Tue Jun 21 13:02:31 BST 2016,Tue Jun 21 13:02:37 BST 2016,1.0,10.52262364082778,startup.compress,Tue Jun 21 13:02:37 BST 2016,Tue Jun 21 13:02:38 BST 2016,1.0,35.9496704613541,startup.crypto.aes,Tue Jun 21 13:02:39 BST 2016,Tue Jun 21 13:02:49 BST 2016,1.0,5.497526113249038,startup.crypto.rsa,Tue Jun 21 13:02:49 BST 2016,Tue Jun 21 13:02:58 BST 2016,1.0,6.865774116031583,startup.crypto.signverify,Tue Jun 21 13:02:58 BST 2016,Tue Jun 21 13:03:06 BST 2016,1.0,7.96918581484925,startup.mpegaudio,Tue Jun 21 13:03:06 BST 2016,Tue Jun 21 13:03:09 BST 2016,1.0,17.21664275466284,startup.scimark.fft,Tue Jun 21 13:03:09 BST 2016,Tue Jun 21 13:03:10 BST 2016,1.0,61.03763987792472,startup.scimark.lu,Tue Jun 21 13:03:10 BST 2016,Tue Jun 21 13:03:11 BST 2016,1.0,48.661800486618006,startup.scimark.monte_carlo,Tue Jun 21 13:03:11 BST 2016,Tue Jun 21 13:03:18 BST 2016,1.0,8.862629246676514,startup.scimark.sor,Tue Jun 21 13:03:18 BST 2016,Tue Jun 21 13:03:20 BST 2016,1.0,34.64203233256351,startup.scimark.sparse,Tue Jun 21 13:03:20 BST 2016,Tue Jun 21 13:03:21 BST 2016,1.0,42.73504273504273,startup.serial,Tue Jun 21 13:03:21 BST 2016,Tue Jun 21 13:03:25 BST 2016,1.0,18.610421836228287,startup.sunflow,Tue Jun 21 13:03:25 BST 2016,Tue Jun 21 13:03:32 BST 2016,1.0,7.958615200955034,startup.xml.transform,Tue Jun 21 13:03:32 BST 2016,Tue Jun 21 13:04:03 BST 2016,1.0,1.9308125502815767,startup.xml.validation,Tue Jun 21 13:04:03 BST 2016,Tue Jun 21 13:04:05 BST 2016,1.0,37.336652146857496,compiler.compiler,Tue Jun 21 13:04:22 BST 2016,Tue Jun 21 13:06:22 BST 2016,339.81719992178785,169.90859996089392,Tue Jun 21 13:06:24 BST 2016,Tue Jun 21 13:10:24 BST 2016,709.346292477167,177.33657311929176,compiler.sunflow,Tue Jun 21 13:10:31 BST 2016,Tue Jun 21 13:12:31 BST 2016,138.91812973242406,69.45906486621203,Tue Jun 21 13:12:34 BST 2016,Tue Jun 21 13:16:34 BST 2016,276.36071064477926,69.09017766119482,compress,Tue Jun 21 13:16:41 BST 2016,Tue Jun 21 13:18:41 BST 2016,265.9895905682564,132.9947952841282,Tue Jun 21 13:18:43 BST 2016,Tue Jun 21 13:22:43 BST 2016,530.4862376416265,132.62155941040663,crypto.aes,Tue Jun 21 13:22:46 BST 2016,Tue Jun 21 13:24:46 BST 2016,81.21038608301569,40.605193041507846,Tue Jun 21 13:24:55 BST 2016,Tue Jun 21 13:28:55 BST 2016,158.51570115355122,39.628925288387805,crypto.rsa,Tue Jun 21 13:29:04 BST 2016,Tue Jun 21 13:31:04 BST 2016,143.0861747880616,71.5430873940308,Tue Jun 21 13:31:10 BST 2016,Tue Jun 21 13:35:10 BST 2016,261.8406953857916,65.4601738464479,crypto.signverify,Tue Jun 21 13:35:14 BST 2016,Tue Jun 21 13:37:14 BST 2016,226.30839013032974,113.15419506516487,Tue Jun 21 13:37:18 BST 2016,Tue Jun 21 13:41:18 BST 2016,490.260994535309,122.56524863382725,derby,Tue Jun 21 13:43:11 BST 2016,Tue Jun 21 13:45:11 BST 2016,195.7032661939461,97.85163309697305,Tue Jun 21 13:45:15 BST 2016,Tue Jun 21 13:49:15 BST 2016,392.97455971587965,98.24363992896991,mpegaudio,Tue Jun 21 13:49:19 BST 2016,Tue Jun 21 13:51:19 BST 2016,129.24925023524423,64.62462511762212,Tue Jun 21 13:51:25 BST 2016,Tue Jun 21 13:55:25 BST 2016,266.3198670498981,66.57996676247453,scimark.fft.large,Tue Jun 21 13:55:30 BST 2016,Tue Jun 21 13:57:30 BST 2016,61.96033927695606,30.98016963847803,Tue Jun 21 13:57:40 BST 2016,Tue Jun 21 14:01:40 BST 2016,120.84041145899471,30.210102864748677,scimark.lu.large,Tue Jun 21 14:01:49 BST 2016,Tue Jun 21 14:03:49 BST 2016,11.518669043844255,5.759334521922128,Tue Jun 21 14:04:26 BST 2016,Tue Jun 21 14:08:26 BST 2016,23.106857951768387,5.776714487942097,scimark.sor.large,Tue Jun 21 14:09:07 BST 2016,Tue Jun 21 14:11:07 BST 2016,53.66228272665914,26.83114136332957,Tue Jun 21 14:11:22 BST 2016,Tue Jun 21 14:15:22 BST 2016,108.92387027261621,27.230967568154053,scimark.sparse.large,Tue Jun 21 14:15:38 BST 2016,Tue Jun 21 14:17:38 BST 2016,37.06430050389047,18.532150251945236,Tue Jun 21 14:17:51 BST 2016,Tue Jun 21 14:21:51 BST 2016,74.29350684004982,18.573376710012454,scimark.fft.small,Tue Jun 21 14:22:05 BST 2016,Tue Jun 21 14:24:05 BST 2016,481.2915606219994,240.6457803109997,Tue Jun 21 14:24:06 BST 2016,Tue Jun 21 14:28:06 BST 2016,993.4781802090558,248.36954505226396,scimark.lu.small,Tue Jun 21 14:28:08 BST 2016,Tue Jun 21 14:30:08 BST 2016,361.17508507052275,180.58754253526138,Tue Jun 21 14:30:10 BST 2016,Tue Jun 21 14:34:10 BST 2016,724.5280537015445,181.13201342538613,scimark.sor.small,Tue Jun 21 14:34:13 BST 2016,Tue Jun 21 14:36:13 BST 2016,223.0610370450558,111.5305185225279,Tue Jun 21 14:36:16 BST 2016,Tue Jun 21 14:40:16 BST 2016,341.83162033257946,85.45790508314487,scimark.sparse.small,Tue Jun 21 14:42:15 BST 2016,Tue Jun 21 14:44:15 BST 2016,307.97857605046545,153.98928802523272,Tue Jun 21 14:44:18 BST 2016,Tue Jun 21 14:48:18 BST 2016,617.8233734859427,154.45584337148568,scimark.monte_carlo,Tue Jun 21 14:48:20 BST 2016,Tue Jun 21 14:50:20 BST 2016,78.21570084461078,39.10785042230539,Tue Jun 21 14:50:29 BST 2016,Tue Jun 21 14:54:29 BST 2016,157.28075011786427,39.32018752946607,serial,Tue Jun 21 14:54:37 BST 2016,Tue Jun 21 14:56:37 BST 2016,143.40940661601132,71.70470330800566,Tue Jun 21 14:56:42 BST 2016,Tue Jun 21 15:00:42 BST 2016,284.46557696760004,71.11639424190001,sunflow,Tue Jun 21 15:00:48 BST 2016,Tue Jun 21 15:02:48 BST 2016,108.33403454340097,54.16701727170049,Tue Jun 21 15:02:50 BST 2016,Tue Jun 21 15:06:50 BST 2016,216.4479934772731,54.11199836931827,xml.transform,Tue Jun 21 15:07:29 BST 2016,Tue Jun 21 15:09:29 BST 2016,297.66371013324056,148.83185506662028,Tue Jun 21 15:09:31 BST 2016,Tue Jun 21 15:13:31 BST 2016,525.1287442117602,131.28218605294006,xml.validation,Tue Jun 21 15:13:36 BST 2016,Tue Jun 21 15:15:36 BST 2016,421.4309959320213,210.71549796601064,Tue Jun 21 15:15:38 BST 2016,Tue Jun 21 15:19:38 BST 2016,1034.5620244160655,258.64050610401637
