spec.jvm2008.report.run.location=BEDSONTC077
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Thu Jun 23 03:00:12 BST 2016, end=Thu Jun 23 03:00:12 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 23 03:00:12 BST 2016, end=Thu Jun 23 03:00:13 BST 2016, operations=1.0, operationsPerMinute=273.972602739726
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 23 03:00:13 BST 2016, end=Thu Jun 23 03:00:26 BST 2016, operations=1.0, operationsPerMinute=4.61716044632551
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 23 03:00:26 BST 2016, end=Thu Jun 23 03:00:29 BST 2016, operations=1.0, operationsPerMinute=18.055973517905507
benchmark-name=startup.compress, mode=normal, start=Thu Jun 23 03:00:29 BST 2016, end=Thu Jun 23 03:00:30 BST 2016, operations=1.0, operationsPerMinute=47.46835443037975
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 23 03:00:30 BST 2016, end=Thu Jun 23 03:00:39 BST 2016, operations=1.0, operationsPerMinute=7.006071929005138
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 23 03:00:39 BST 2016, end=Thu Jun 23 03:00:46 BST 2016, operations=1.0, operationsPerMinute=7.995735607675906
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 23 03:00:46 BST 2016, end=Thu Jun 23 03:00:53 BST 2016, operations=1.0, operationsPerMinute=9.007656508031827
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 23 03:00:53 BST 2016, end=Thu Jun 23 03:00:55 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 23 03:00:55 BST 2016, end=Thu Jun 23 03:00:56 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 23 03:00:56 BST 2016, end=Thu Jun 23 03:00:57 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 23 03:00:57 BST 2016, end=Thu Jun 23 03:01:03 BST 2016, operations=1.0, operationsPerMinute=10.743061772605193
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 23 03:01:03 BST 2016, end=Thu Jun 23 03:01:04 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 23 03:01:04 BST 2016, end=Thu Jun 23 03:01:05 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Thu Jun 23 03:01:05 BST 2016, end=Thu Jun 23 03:01:07 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 23 03:01:07 BST 2016, end=Thu Jun 23 03:01:13 BST 2016, operations=1.0, operationsPerMinute=9.358914365933552
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 23 03:01:13 BST 2016, end=Thu Jun 23 03:01:34 BST 2016, operations=1.0, operationsPerMinute=2.988345452734336
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 23 03:01:34 BST 2016, end=Thu Jun 23 03:01:34 BST 2016, operations=1.0, operationsPerMinute=71.25890736342043
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 23 03:01:45 BST 2016, end=Thu Jun 23 03:03:45 BST 2016, operations=485.88561896732085, operationsPerMinute=242.94280948366043, mode=normal, start=Thu Jun 23 03:03:46 BST 2016, end=Thu Jun 23 03:07:46 BST 2016, operations=1012.8200933713747, operationsPerMinute=253.20502334284367
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 23 03:07:50 BST 2016, end=Thu Jun 23 03:09:50 BST 2016, operations=199.27081298635724, operationsPerMinute=99.63540649317862, mode=normal, start=Thu Jun 23 03:09:53 BST 2016, end=Thu Jun 23 03:13:53 BST 2016, operations=392.8661835557538, operationsPerMinute=98.21654588893846
benchmark-name=compress, mod=warmup, start=Thu Jun 23 03:13:57 BST 2016, end=Thu Jun 23 03:15:57 BST 2016, operations=398.1217283768449, operationsPerMinute=199.06086418842244, mode=normal, start=Thu Jun 23 03:15:59 BST 2016, end=Thu Jun 23 03:19:59 BST 2016, operations=794.8816516534991, operationsPerMinute=198.7204129133748
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 23 03:20:01 BST 2016, end=Thu Jun 23 03:22:01 BST 2016, operations=138.45009262673014, operationsPerMinute=69.22504631336507, mode=normal, start=Thu Jun 23 03:22:06 BST 2016, end=Thu Jun 23 03:26:06 BST 2016, operations=293.08911356070763, operationsPerMinute=73.27227839017691
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 23 03:26:11 BST 2016, end=Thu Jun 23 03:28:11 BST 2016, operations=235.62056184309677, operationsPerMinute=117.81028092154838, mode=normal, start=Thu Jun 23 03:28:15 BST 2016, end=Thu Jun 23 03:32:15 BST 2016, operations=470.2643259176149, operationsPerMinute=117.56608147940372
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 23 03:32:18 BST 2016, end=Thu Jun 23 03:34:18 BST 2016, operations=404.5611499263195, operationsPerMinute=202.28057496315975, mode=normal, start=Thu Jun 23 03:34:20 BST 2016, end=Thu Jun 23 03:38:20 BST 2016, operations=810.2592681100758, operationsPerMinute=202.56481702751896
benchmark-name=derby, mod=warmup, start=Thu Jun 23 03:38:43 BST 2016, end=Thu Jun 23 03:40:43 BST 2016, operations=350.6241546396763, operationsPerMinute=175.31207731983815, mode=normal, start=Thu Jun 23 03:40:44 BST 2016, end=Thu Jun 23 03:44:44 BST 2016, operations=723.4048169108482, operationsPerMinute=180.85120422771206
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 23 03:44:47 BST 2016, end=Thu Jun 23 03:46:47 BST 2016, operations=207.22808157969936, operationsPerMinute=103.61404078984968, mode=normal, start=Thu Jun 23 03:46:50 BST 2016, end=Thu Jun 23 03:50:50 BST 2016, operations=413.4615272950018, operationsPerMinute=103.36538182375045
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 23 03:50:53 BST 2016, end=Thu Jun 23 03:52:53 BST 2016, operations=71.28829201491277, operationsPerMinute=35.644146007456385, mode=normal, start=Thu Jun 23 03:53:00 BST 2016, end=Thu Jun 23 03:57:00 BST 2016, operations=144.4778639583618, operationsPerMinute=36.11946598959045
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 23 03:57:08 BST 2016, end=Thu Jun 23 03:59:08 BST 2016, operations=13.81194610933243, operationsPerMinute=6.905973054666215, mode=normal, start=Thu Jun 23 03:59:54 BST 2016, end=Thu Jun 23 04:03:54 BST 2016, operations=27.72405135112276, operationsPerMinute=6.93101283778069
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 23 04:04:31 BST 2016, end=Thu Jun 23 04:06:31 BST 2016, operations=73.95918129217617, operationsPerMinute=36.979590646088084, mode=normal, start=Thu Jun 23 04:06:41 BST 2016, end=Thu Jun 23 04:10:41 BST 2016, operations=148.23807066841374, operationsPerMinute=37.059517667103435
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 23 04:10:52 BST 2016, end=Thu Jun 23 04:12:52 BST 2016, operations=43.020718460962286, operationsPerMinute=21.510359230481143, mode=normal, start=Thu Jun 23 04:13:04 BST 2016, end=Thu Jun 23 04:17:04 BST 2016, operations=85.95825450162523, operationsPerMinute=21.48956362540631
