spec.jvm2008.report.run.location=LAW021
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8067
benchmark-name=check, mode=normal, start=Mon Jun 27 10:30:34 BST 2016, end=Mon Jun 27 10:30:34 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Mon Jun 27 10:30:34 BST 2016, end=Mon Jun 27 10:30:35 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jun 27 10:30:35 BST 2016, end=Mon Jun 27 10:30:51 BST 2016, operations=1.0, operationsPerMinute=3.6114120621162873
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jun 27 10:30:51 BST 2016, end=Mon Jun 27 10:30:55 BST 2016, operations=1.0, operationsPerMinute=14.566642388929353
benchmark-name=startup.compress, mode=normal, start=Mon Jun 27 10:30:55 BST 2016, end=Mon Jun 27 10:30:57 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jun 27 10:30:57 BST 2016, end=Mon Jun 27 10:31:06 BST 2016, operations=1.0, operationsPerMinute=6.620324395895399
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jun 27 10:31:06 BST 2016, end=Mon Jun 27 10:31:14 BST 2016, operations=1.0, operationsPerMinute=7.6608784473953015
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jun 27 10:31:14 BST 2016, end=Mon Jun 27 10:31:20 BST 2016, operations=1.0, operationsPerMinute=8.782201405152225
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jun 27 10:31:20 BST 2016, end=Mon Jun 27 10:31:23 BST 2016, operations=1.0, operationsPerMinute=22.35469448584203
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jun 27 10:31:23 BST 2016, end=Mon Jun 27 10:31:24 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jun 27 10:31:24 BST 2016, end=Mon Jun 27 10:31:25 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jun 27 10:31:25 BST 2016, end=Mon Jun 27 10:31:31 BST 2016, operations=1.0, operationsPerMinute=9.811937857726901
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jun 27 10:31:31 BST 2016, end=Mon Jun 27 10:31:33 BST 2016, operations=1.0, operationsPerMinute=38.83495145631068
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jun 27 10:31:33 BST 2016, end=Mon Jun 27 10:31:34 BST 2016, operations=1.0, operationsPerMinute=52.72407732864675
benchmark-name=startup.serial, mode=normal, start=Mon Jun 27 10:31:34 BST 2016, end=Mon Jun 27 10:31:36 BST 2016, operations=1.0, operationsPerMinute=23.166023166023166
benchmark-name=startup.sunflow, mode=normal, start=Mon Jun 27 10:31:36 BST 2016, end=Mon Jun 27 10:31:43 BST 2016, operations=1.0, operationsPerMinute=8.92325996430696
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jun 27 10:31:43 BST 2016, end=Mon Jun 27 10:32:07 BST 2016, operations=1.0, operationsPerMinute=2.4894199651481204
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jun 27 10:32:07 BST 2016, end=Mon Jun 27 10:32:08 BST 2016, operations=1.0, operationsPerMinute=54.151624548736464
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jun 27 10:32:21 BST 2016, end=Mon Jun 27 10:34:21 BST 2016, operations=417.83244466854205, operationsPerMinute=208.91622233427103, mode=normal, start=Mon Jun 27 10:34:22 BST 2016, end=Mon Jun 27 10:38:22 BST 2016, operations=860.7382217135827, operationsPerMinute=215.18455542839567
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jun 27 10:38:28 BST 2016, end=Mon Jun 27 10:40:28 BST 2016, operations=159.8798480858539, operationsPerMinute=79.93992404292695, mode=normal, start=Mon Jun 27 10:40:32 BST 2016, end=Mon Jun 27 10:44:32 BST 2016, operations=339.27400420834596, operationsPerMinute=84.81850105208649
benchmark-name=compress, mod=warmup, start=Mon Jun 27 10:44:36 BST 2016, end=Mon Jun 27 10:46:36 BST 2016, operations=348.5309541022783, operationsPerMinute=174.26547705113916, mode=normal, start=Mon Jun 27 10:46:38 BST 2016, end=Mon Jun 27 10:50:38 BST 2016, operations=702.6006568383876, operationsPerMinute=175.6501642095969
benchmark-name=crypto.aes, mod=warmup, start=Mon Jun 27 10:50:40 BST 2016, end=Mon Jun 27 10:52:40 BST 2016, operations=115.83397589841103, operationsPerMinute=57.91698794920551, mode=normal, start=Mon Jun 27 10:52:45 BST 2016, end=Mon Jun 27 10:56:45 BST 2016, operations=245.4403048038342, operationsPerMinute=61.36007620095855
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jun 27 10:56:51 BST 2016, end=Mon Jun 27 10:58:51 BST 2016, operations=207.12485035852168, operationsPerMinute=103.56242517926084, mode=normal, start=Mon Jun 27 10:58:53 BST 2016, end=Mon Jun 27 11:02:53 BST 2016, operations=413.3283391936342, operationsPerMinute=103.33208479840854
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jun 27 11:02:58 BST 2016, end=Mon Jun 27 11:04:58 BST 2016, operations=351.6091620471569, operationsPerMinute=175.80458102357844, mode=normal, start=Mon Jun 27 11:05:00 BST 2016, end=Mon Jun 27 11:09:00 BST 2016, operations=706.8374177112572, operationsPerMinute=176.7093544278143
benchmark-name=derby, mod=warmup, start=Mon Jun 27 11:09:59 BST 2016, end=Mon Jun 27 11:11:59 BST 2016, operations=267.44501563660356, operationsPerMinute=133.72250781830178, mode=normal, start=Mon Jun 27 11:12:01 BST 2016, end=Mon Jun 27 11:16:01 BST 2016, operations=535.6586926474579, operationsPerMinute=133.91467316186447
benchmark-name=mpegaudio, mod=warmup, start=Mon Jun 27 11:16:04 BST 2016, end=Mon Jun 27 11:18:04 BST 2016, operations=171.63290984447835, operationsPerMinute=85.81645492223917, mode=normal, start=Mon Jun 27 11:18:09 BST 2016, end=Mon Jun 27 11:22:09 BST 2016, operations=345.9251918083193, operationsPerMinute=86.48129795207983
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jun 27 11:22:13 BST 2016, end=Mon Jun 27 11:24:13 BST 2016, operations=102.063021142687, operationsPerMinute=51.0315105713435, mode=normal, start=Mon Jun 27 11:24:19 BST 2016, end=Mon Jun 27 11:28:19 BST 2016, operations=195.96988990476984, operationsPerMinute=48.99247247619246
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jun 27 11:29:18 BST 2016, end=Mon Jun 27 11:31:18 BST 2016, operations=21.893349512995933, operationsPerMinute=10.946674756497966, mode=normal, start=Mon Jun 27 11:32:50 BST 2016, end=Mon Jun 27 11:36:50 BST 2016, operations=44.861873728776104, operationsPerMinute=11.215468432194026
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jun 27 11:37:18 BST 2016, end=Mon Jun 27 11:39:18 BST 2016, operations=69.59617813666395, operationsPerMinute=34.798089068331976, mode=normal, start=Mon Jun 27 11:39:28 BST 2016, end=Mon Jun 27 11:43:28 BST 2016, operations=139.07047884262832, operationsPerMinute=34.76761971065708
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jun 27 11:43:36 BST 2016, end=Mon Jun 27 11:45:36 BST 2016, operations=75.24295098881665, operationsPerMinute=37.62147549440832, mode=normal, start=Mon Jun 27 11:45:42 BST 2016, end=Mon Jun 27 11:49:42 BST 2016, operations=150.60384480885847, operationsPerMinute=37.65096120221462
