spec.jvm2008.report.run.location=BARN-06
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jul 01 16:52:40 BST 2016, end=Fri Jul 01 16:52:40 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=scimark.fft.small, mod=warmup, start=Fri Jul 01 18:09:47 BST 2016, end=Fri Jul 01 18:11:47 BST 2016, operations=706.5942014062488, operationsPerMinute=353.2971007031244, mode=normal, start=Fri Jul 01 18:11:48 BST 2016, end=Fri Jul 01 18:15:48 BST 2016, operations=1468.2390847315007, operationsPerMinute=367.0597711828752
benchmark-name=scimark.lu.small, mod=warmup, start=Fri Jul 01 18:15:49 BST 2016, end=Fri Jul 01 18:17:49 BST 2016, operations=575.9093107617896, operationsPerMinute=287.9546553808948, mode=normal, start=Fri Jul 01 18:17:51 BST 2016, end=Fri Jul 01 18:21:51 BST 2016, operations=1144.2228621866507, operationsPerMinute=286.05571554666267
benchmark-name=scimark.sor.small, mod=warmup, start=Fri Jul 01 18:21:52 BST 2016, end=Fri Jul 01 18:23:52 BST 2016, operations=329.6036790270998, operationsPerMinute=164.8018395135499, mode=normal, start=Fri Jul 01 18:23:54 BST 2016, end=Fri Jul 01 18:27:54 BST 2016, operations=659.8401787592076, operationsPerMinute=164.9600446898019
benchmark-name=scimark.sparse.small, mod=warmup, start=Fri Jul 01 18:27:56 BST 2016, end=Fri Jul 01 18:29:56 BST 2016, operations=500.5149008090184, operationsPerMinute=250.2574504045092, mode=normal, start=Fri Jul 01 18:29:58 BST 2016, end=Fri Jul 01 18:33:58 BST 2016, operations=1006.6960091970218, operationsPerMinute=251.67400229925545
benchmark-name=scimark.monte_carlo, mod=warmup, start=Fri Jul 01 18:33:59 BST 2016, end=Fri Jul 01 18:35:59 BST 2016, operations=119.7658240099424, operationsPerMinute=59.8829120049712, mode=normal, start=Fri Jul 01 18:36:06 BST 2016, end=Fri Jul 01 18:40:06 BST 2016, operations=239.20857073214347, operationsPerMinute=59.80214268303587
benchmark-name=serial, mod=warmup, start=Fri Jul 01 18:40:12 BST 2016, end=Fri Jul 01 18:42:12 BST 2016, operations=236.56368294335732, operationsPerMinute=118.28184147167866, mode=normal, start=Fri Jul 01 18:42:15 BST 2016, end=Fri Jul 01 18:46:15 BST 2016, operations=472.93290830586295, operationsPerMinute=118.23322707646574
benchmark-name=sunflow, mod=warmup, start=Fri Jul 01 18:46:18 BST 2016, end=Fri Jul 01 18:48:18 BST 2016, operations=180.25937191519677, operationsPerMinute=90.12968595759838, mode=normal, start=Fri Jul 01 18:48:19 BST 2016, end=Fri Jul 01 18:52:19 BST 2016, operations=358.08660737555385, operationsPerMinute=89.52165184388846
benchmark-name=xml.transform, mod=warmup, start=Fri Jul 01 18:52:41 BST 2016, end=Fri Jul 01 18:54:41 BST 2016, operations=521.5185416223837, operationsPerMinute=260.75927081119187, mode=normal, start=Fri Jul 01 18:54:43 BST 2016, end=Fri Jul 01 18:58:43 BST 2016, operations=1004.0923942918687, operationsPerMinute=251.02309857296717
benchmark-name=xml.validation, mod=warmup, start=Fri Jul 01 18:58:44 BST 2016, end=Fri Jul 01 19:00:44 BST 2016, operations=1023.8884780888504, operationsPerMinute=511.9442390444252, mode=normal, start=Fri Jul 01 19:00:45 BST 2016, end=Fri Jul 01 19:04:45 BST 2016, operations=2005.4829062954566, operationsPerMinute=501.37072657386415
##-nursultan-##,BARN-06,Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz,4,8098,check,Fri Jul 01 16:52:40 BST 2016,Fri Jul 01 16:52:40 BST 2016,1.0,1304.3478260869565,startup.helloworld,Fri Jul 01 16:52:40 BST 2016,Fri Jul 01 16:52:40 BST 2016,1.0,638.2978723404256,startup.compiler.compiler,Fri Jul 01 16:52:40 BST 2016,Fri Jul 01 16:52:54 BST 2016,1.0,4.456658991309515,startup.compiler.sunflow,Fri Jul 01 16:52:54 BST 2016,Fri Jul 01 16:52:57 BST 2016,1.0,18.231540565177756,startup.compress,Fri Jul 01 16:52:57 BST 2016,Fri Jul 01 16:52:58 BST 2016,1.0,48.07692307692308,startup.crypto.aes,Fri Jul 01 16:52:58 BST 2016,Fri Jul 01 16:53:07 BST 2016,1.0,7.082989021367017,startup.crypto.rsa,Fri Jul 01 16:53:07 BST 2016,Fri Jul 01 16:53:14 BST 2016,1.0,7.930214115781126,startup.crypto.signverify,Fri Jul 01 16:53:14 BST 2016,Fri Jul 01 16:53:21 BST 2016,1.0,9.178522257916475,startup.mpegaudio,Fri Jul 01 16:53:21 BST 2016,Fri Jul 01 16:53:23 BST 2016,1.0,26.714158504007123,startup.scimark.fft,Fri Jul 01 16:53:23 BST 2016,Fri Jul 01 16:53:24 BST 2016,1.0,83.56545961002786,startup.scimark.lu,Fri Jul 01 16:53:24 BST 2016,Fri Jul 01 16:53:25 BST 2016,1.0,66.3716814159292,startup.scimark.monte_carlo,Fri Jul 01 16:53:25 BST 2016,Fri Jul 01 16:53:30 BST 2016,1.0,10.895224260032686,startup.scimark.sor,Fri Jul 01 16:53:30 BST 2016,Fri Jul 01 16:53:32 BST 2016,1.0,42.25352112676056,startup.scimark.sparse,Fri Jul 01 16:53:32 BST 2016,Fri Jul 01 16:53:33 BST 2016,1.0,62.047569803516026,startup.serial,Fri Jul 01 16:53:33 BST 2016,Fri Jul 01 16:53:35 BST 2016,1.0,28.708133971291865,startup.sunflow,Fri Jul 01 16:53:35 BST 2016,Fri Jul 01 16:53:41 BST 2016,1.0,9.402914903620122,startup.xml.transform,Fri Jul 01 16:53:41 BST 2016,Fri Jul 01 16:54:02 BST 2016,1.0,2.8853089685020437,startup.xml.validation,Fri Jul 01 16:54:02 BST 2016,Fri Jul 01 16:54:03 BST 2016,1.0,75.37688442211055,compiler.compiler,Fri Jul 01 16:54:14 BST 2016,Fri Jul 01 16:56:14 BST 2016,498.68229287654685,249.34114643827343,Fri Jul 01 16:56:15 BST 2016,Fri Jul 01 17:00:15 BST 2016,1002.816573376509,250.70414334412726,compiler.sunflow,Fri Jul 01 17:00:19 BST 2016,Fri Jul 01 17:02:19 BST 2016,200.54148495095419,100.27074247547709,Fri Jul 01 17:02:23 BST 2016,Fri Jul 01 17:06:23 BST 2016,396.26223076591924,99.06555769147981,compress,Fri Jul 01 17:06:26 BST 2016,Fri Jul 01 17:08:26 BST 2016,400.1500737932426,200.0750368966213,Fri Jul 01 17:08:28 BST 2016,Fri Jul 01 17:12:28 BST 2016,800.7745448367183,200.19363620917957,crypto.aes,Fri Jul 01 17:12:30 BST 2016,Fri Jul 01 17:14:30 BST 2016,139.65292359996772,69.82646179998386,Fri Jul 01 17:14:33 BST 2016,Fri Jul 01 17:18:33 BST 2016,294.9015730433008,73.7253932608252,crypto.rsa,Fri Jul 01 17:18:38 BST 2016,Fri Jul 01 17:20:38 BST 2016,235.5039193279551,117.75195966397754,Fri Jul 01 17:20:40 BST 2016,Fri Jul 01 17:24:40 BST 2016,470.19686588590844,117.54921647147711,crypto.signverify,Fri Jul 01 17:24:44 BST 2016,Fri Jul 01 17:26:44 BST 2016,408.5687464059291,204.28437320296456,Fri Jul 01 17:26:46 BST 2016,Fri Jul 01 17:30:46 BST 2016,817.6189099173502,204.40472747933754,derby,Fri Jul 01 17:31:08 BST 2016,Fri Jul 01 17:33:08 BST 2016,359.94311784632663,179.97155892316331,Fri Jul 01 17:33:11 BST 2016,Fri Jul 01 17:37:11 BST 2016,719.3326809490427,179.83317023726067,mpegaudio,Fri Jul 01 17:37:13 BST 2016,Fri Jul 01 17:39:13 BST 2016,205.34396481062166,102.67198240531083,Fri Jul 01 17:39:16 BST 2016,Fri Jul 01 17:43:16 BST 2016,412.04592342265533,103.01148085566383,scimark.fft.large,Fri Jul 01 17:43:21 BST 2016,Fri Jul 01 17:45:21 BST 2016,76.9432448758038,38.4716224379019,Fri Jul 01 17:45:29 BST 2016,Fri Jul 01 17:49:29 BST 2016,151.68670240989647,37.92167560247412,scimark.lu.large,Fri Jul 01 17:49:36 BST 2016,Fri Jul 01 17:51:36 BST 2016,13.791973149147998,6.895986574573999,Fri Jul 01 17:52:21 BST 2016,Fri Jul 01 17:56:21 BST 2016,27.96427247444205,6.991068118610513,scimark.sor.large,Fri Jul 01 17:57:03 BST 2016,Fri Jul 01 17:59:03 BST 2016,74.52170919862263,37.260854599311315,Fri Jul 01 17:59:13 BST 2016,Fri Jul 01 18:03:13 BST 2016,148.86501110096933,37.21625277524233,scimark.sparse.large,Fri Jul 01 18:03:21 BST 2016,Fri Jul 01 18:05:21 BST 2016,43.03847817268063,21.519239086340313,Fri Jul 01 18:05:34 BST 2016,Fri Jul 01 18:09:34 BST 2016,86.40838627755667,21.602096569389168,scimark.fft.small,Fri Jul 01 18:09:47 BST 2016,Fri Jul 01 18:11:47 BST 2016,706.5942014062488,353.2971007031244,Fri Jul 01 18:11:48 BST 2016,Fri Jul 01 18:15:48 BST 2016,1468.2390847315007,367.0597711828752,scimark.lu.small,Fri Jul 01 18:15:49 BST 2016,Fri Jul 01 18:17:49 BST 2016,575.9093107617896,287.9546553808948,Fri Jul 01 18:17:51 BST 2016,Fri Jul 01 18:21:51 BST 2016,1144.2228621866507,286.05571554666267,scimark.sor.small,Fri Jul 01 18:21:52 BST 2016,Fri Jul 01 18:23:52 BST 2016,329.6036790270998,164.8018395135499,Fri Jul 01 18:23:54 BST 2016,Fri Jul 01 18:27:54 BST 2016,659.8401787592076,164.9600446898019,scimark.sparse.small,Fri Jul 01 18:27:56 BST 2016,Fri Jul 01 18:29:56 BST 2016,500.5149008090184,250.2574504045092,Fri Jul 01 18:29:58 BST 2016,Fri Jul 01 18:33:58 BST 2016,1006.6960091970218,251.67400229925545,scimark.monte_carlo,Fri Jul 01 18:33:59 BST 2016,Fri Jul 01 18:35:59 BST 2016,119.7658240099424,59.8829120049712,Fri Jul 01 18:36:06 BST 2016,Fri Jul 01 18:40:06 BST 2016,239.20857073214347,59.80214268303587,serial,Fri Jul 01 18:40:12 BST 2016,Fri Jul 01 18:42:12 BST 2016,236.56368294335732,118.28184147167866,Fri Jul 01 18:42:15 BST 2016,Fri Jul 01 18:46:15 BST 2016,472.93290830586295,118.23322707646574,sunflow,Fri Jul 01 18:46:18 BST 2016,Fri Jul 01 18:48:18 BST 2016,180.25937191519677,90.12968595759838,Fri Jul 01 18:48:19 BST 2016,Fri Jul 01 18:52:19 BST 2016,358.08660737555385,89.52165184388846,xml.transform,Fri Jul 01 18:52:41 BST 2016,Fri Jul 01 18:54:41 BST 2016,521.5185416223837,260.75927081119187,Fri Jul 01 18:54:43 BST 2016,Fri Jul 01 18:58:43 BST 2016,1004.0923942918687,251.02309857296717,xml.validation,Fri Jul 01 18:58:44 BST 2016,Fri Jul 01 19:00:44 BST 2016,1023.8884780888504,511.9442390444252,Fri Jul 01 19:00:45 BST 2016,Fri Jul 01 19:04:45 BST 2016,2005.4829062954566,501.37072657386415
