spec.jvm2008.report.run.location=TOLL04
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
spec.jvm2008.report.hw.number.of.cores=2
spec.jvm2008.report.hw.memory.size=3991
benchmark-name=check, mode=normal, start=Wed Jun 29 02:57:04 BST 2016, end=Wed Jun 29 02:57:06 BST 2016, operations=1.0, operationsPerMinute=51.99306759098787
benchmark-name=startup.helloworld, mode=normal, start=Wed Jun 29 02:57:06 BST 2016, end=Wed Jun 29 02:57:31 BST 2016, operations=1.0, operationsPerMinute=2.3141898407065993
benchmark-name=startup.compiler.compiler, mode=normal, start=Wed Jun 29 02:57:32 BST 2016, end=Wed Jun 29 03:05:19 BST 2016, operations=1.0, operationsPerMinute=0.12823499490265897
benchmark-name=startup.compiler.sunflow, mode=normal, start=Wed Jun 29 03:05:19 BST 2016, end=Wed Jun 29 03:05:27 BST 2016, operations=1.0, operationsPerMinute=8.097165991902834
benchmark-name=startup.compress, mode=normal, start=Wed Jun 29 03:05:27 BST 2016, end=Wed Jun 29 03:05:29 BST 2016, operations=1.0, operationsPerMinute=32.05128205128205
benchmark-name=startup.crypto.aes, mode=normal, start=Wed Jun 29 03:05:29 BST 2016, end=Wed Jun 29 03:05:40 BST 2016, operations=1.0, operationsPerMinute=5.162622612287042
benchmark-name=startup.crypto.rsa, mode=normal, start=Wed Jun 29 03:05:40 BST 2016, end=Wed Jun 29 03:05:49 BST 2016, operations=1.0, operationsPerMinute=6.723442402510085
benchmark-name=startup.crypto.signverify, mode=normal, start=Wed Jun 29 03:05:49 BST 2016, end=Wed Jun 29 03:05:57 BST 2016, operations=1.0, operationsPerMinute=8.201202843083653
benchmark-name=startup.mpegaudio, mode=normal, start=Wed Jun 29 03:05:57 BST 2016, end=Wed Jun 29 03:06:01 BST 2016, operations=1.0, operationsPerMinute=15.32567049808429
benchmark-name=startup.scimark.fft, mode=normal, start=Wed Jun 29 03:06:01 BST 2016, end=Wed Jun 29 03:06:02 BST 2016, operations=1.0, operationsPerMinute=45.248868778280546
benchmark-name=startup.scimark.lu, mode=normal, start=Wed Jun 29 03:06:02 BST 2016, end=Wed Jun 29 03:06:04 BST 2016, operations=1.0, operationsPerMinute=33.44481605351171
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Wed Jun 29 03:06:04 BST 2016, end=Wed Jun 29 03:06:12 BST 2016, operations=1.0, operationsPerMinute=7.570977917981073
benchmark-name=startup.scimark.sor, mode=normal, start=Wed Jun 29 03:06:12 BST 2016, end=Wed Jun 29 03:06:13 BST 2016, operations=1.0, operationsPerMinute=32.608695652173914
benchmark-name=startup.scimark.sparse, mode=normal, start=Wed Jun 29 03:06:13 BST 2016, end=Wed Jun 29 03:06:16 BST 2016, operations=1.0, operationsPerMinute=28.275212064090482
benchmark-name=startup.serial, mode=normal, start=Wed Jun 29 03:06:16 BST 2016, end=Wed Jun 29 03:06:20 BST 2016, operations=1.0, operationsPerMinute=13.172338090010976
benchmark-name=startup.sunflow, mode=normal, start=Wed Jun 29 03:06:20 BST 2016, end=Wed Jun 29 03:06:29 BST 2016, operations=1.0, operationsPerMinute=6.574621959237344
benchmark-name=startup.xml.transform, mode=normal, start=Wed Jun 29 03:06:29 BST 2016, end=Wed Jun 29 03:07:11 BST 2016, operations=1.0, operationsPerMinute=1.4426891726177595
benchmark-name=startup.xml.validation, mode=normal, start=Wed Jun 29 03:07:11 BST 2016, end=Wed Jun 29 03:07:12 BST 2016, operations=1.0, operationsPerMinute=36.27569528415961
benchmark-name=compiler.compiler, mod=warmup, start=Wed Jun 29 03:07:33 BST 2016, end=Wed Jun 29 03:09:33 BST 2016, operations=196.50924160552944, operationsPerMinute=98.25462080276472, mode=normal, start=Wed Jun 29 03:09:35 BST 2016, end=Wed Jun 29 03:13:35 BST 2016, operations=399.39737569545827, operationsPerMinute=99.84934392386457
benchmark-name=compiler.sunflow, mod=warmup, start=Wed Jun 29 03:13:42 BST 2016, end=Wed Jun 29 03:15:42 BST 2016, operations=76.93841123175947, operationsPerMinute=38.46920561587974, mode=normal, start=Wed Jun 29 03:15:45 BST 2016, end=Wed Jun 29 03:19:45 BST 2016, operations=159.73782182974497, operationsPerMinute=39.93445545743624
benchmark-name=compress, mod=warmup, start=Wed Jun 29 03:19:49 BST 2016, end=Wed Jun 29 03:21:49 BST 2016, operations=111.04384782920876, operationsPerMinute=55.52192391460438, mode=normal, start=Wed Jun 29 03:21:52 BST 2016, end=Wed Jun 29 03:25:52 BST 2016, operations=270.7410826753017, operationsPerMinute=67.68527066882542
benchmark-name=crypto.aes, mod=warmup, start=Wed Jun 29 03:25:56 BST 2016, end=Wed Jun 29 03:27:56 BST 2016, operations=27.50847722381703, operationsPerMinute=13.754238611908516, mode=normal, start=Wed Jun 29 03:28:07 BST 2016, end=Wed Jun 29 03:32:07 BST 2016, operations=68.29598272158188, operationsPerMinute=17.07399568039547
benchmark-name=crypto.rsa, mod=warmup, start=Wed Jun 29 03:32:17 BST 2016, end=Wed Jun 29 03:34:17 BST 2016, operations=54.83101021875183, operationsPerMinute=27.415505109375914, mode=normal, start=Wed Jun 29 03:34:22 BST 2016, end=Wed Jun 29 03:38:22 BST 2016, operations=116.68967723195621, operationsPerMinute=29.172419307989053
benchmark-name=crypto.signverify, mod=warmup, start=Wed Jun 29 03:38:25 BST 2016, end=Wed Jun 29 03:40:25 BST 2016, operations=103.31136122228085, operationsPerMinute=51.655680611140426, mode=normal, start=Wed Jun 29 03:40:29 BST 2016, end=Wed Jun 29 03:44:29 BST 2016, operations=206.60218160077272, operationsPerMinute=51.65054540019318
benchmark-name=derby, mod=warmup, start=Wed Jun 29 03:46:30 BST 2016, end=Wed Jun 29 03:48:30 BST 2016, operations=73.01666540835274, operationsPerMinute=36.50833270417637, mode=normal, start=Wed Jun 29 03:48:33 BST 2016, end=Wed Jun 29 03:52:33 BST 2016, operations=147.1526759449496, operationsPerMinute=36.7881689862374
benchmark-name=mpegaudio, mod=warmup, start=Wed Jun 29 03:52:39 BST 2016, end=Wed Jun 29 03:54:39 BST 2016, operations=48.56509861655992, operationsPerMinute=24.28254930827996, mode=normal, start=Wed Jun 29 03:54:43 BST 2016, end=Wed Jun 29 03:58:43 BST 2016, operations=97.17637810786965, operationsPerMinute=24.294094526967413
benchmark-name=scimark.fft.large, mod=warmup, start=Wed Jun 29 03:58:49 BST 2016, end=Wed Jun 29 04:00:49 BST 2016, operations=29.51617811526993, operationsPerMinute=14.758089057634965, mode=normal, start=Wed Jun 29 04:01:03 BST 2016, end=Wed Jun 29 04:05:03 BST 2016, operations=58.43481583793614, operationsPerMinute=14.608703959484036
benchmark-name=scimark.lu.large, mod=warmup, start=Wed Jun 29 04:05:14 BST 2016, end=Wed Jun 29 04:07:14 BST 2016, operations=7.114161078147429, operationsPerMinute=3.5570805390737146, mode=normal, start=Wed Jun 29 04:07:45 BST 2016, end=Wed Jun 29 04:11:45 BST 2016, operations=14.168998276423432, operationsPerMinute=3.542249569105858
benchmark-name=scimark.sor.large, mod=warmup, start=Wed Jun 29 04:12:33 BST 2016, end=Wed Jun 29 04:14:33 BST 2016, operations=32.19761167853939, operationsPerMinute=16.098805839269694, mode=normal, start=Wed Jun 29 04:14:41 BST 2016, end=Wed Jun 29 04:18:41 BST 2016, operations=62.51861155194691, operationsPerMinute=15.629652887986728
benchmark-name=scimark.sparse.large, mod=warmup, start=Wed Jun 29 04:18:53 BST 2016, end=Wed Jun 29 04:20:53 BST 2016, operations=23.122056738526958, operationsPerMinute=11.561028369263479, mode=normal, start=Wed Jun 29 04:21:09 BST 2016, end=Wed Jun 29 04:25:09 BST 2016, operations=47.451547964492384, operationsPerMinute=11.862886991123096
benchmark-name=scimark.fft.small, mod=warmup, start=Wed Jun 29 04:25:18 BST 2016, end=Wed Jun 29 04:27:18 BST 2016, operations=242.1122775194841, operationsPerMinute=121.05613875974205, mode=normal, start=Wed Jun 29 04:27:20 BST 2016, end=Wed Jun 29 04:31:20 BST 2016, operations=483.10577353053213, operationsPerMinute=120.77644338263303
