spec.jvm2008.report.run.location=ROBLIB073
spec.jvm2008.report.hw.cpu.name=
spec.jvm2008.report.hw.number.of.cores=
spec.jvm2008.report.hw.memory.size=,=
benchmark-name=check, mode=normal, start=Sat Jun 04 16:07:01 BST 2016, end=Sat Jun 04 16:07:01 BST 2016, operations=1.0, operationsPerMinute=750.0
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 16:07:01 BST 2016, end=Sat Jun 04 16:07:02 BST 2016, operations=1.0, operationsPerMinute=118.81188118811882
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 16:07:02 BST 2016, end=Sat Jun 04 16:07:23 BST 2016, operations=1.0, operationsPerMinute=2.803083391730904
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 16:07:23 BST 2016, end=Sat Jun 04 16:07:28 BST 2016, operations=1.0, operationsPerMinute=12.048192771084338
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 16:07:28 BST 2016, end=Sat Jun 04 16:07:30 BST 2016, operations=1.0, operationsPerMinute=39.8671096345515
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 16:07:30 BST 2016, end=Sat Jun 04 16:07:39 BST 2016, operations=1.0, operationsPerMinute=6.364022061943148
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 16:07:39 BST 2016, end=Sat Jun 04 16:07:47 BST 2016, operations=1.0, operationsPerMinute=7.743933918430563
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 16:07:47 BST 2016, end=Sat Jun 04 16:07:54 BST 2016, operations=1.0, operationsPerMinute=8.75912408759124
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 16:07:54 BST 2016, end=Sat Jun 04 16:07:56 BST 2016, operations=1.0, operationsPerMinute=21.314387211367674
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 16:07:56 BST 2016, end=Sat Jun 04 16:07:57 BST 2016, operations=1.0, operationsPerMinute=64.86486486486487
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 16:07:57 BST 2016, end=Sat Jun 04 16:07:58 BST 2016, operations=1.0, operationsPerMinute=50.33557046979866
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 16:07:58 BST 2016, end=Sat Jun 04 16:08:05 BST 2016, operations=1.0, operationsPerMinute=9.404388714733543
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 16:08:05 BST 2016, end=Sat Jun 04 16:08:06 BST 2016, operations=1.0, operationsPerMinute=37.3134328358209
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 16:08:06 BST 2016, end=Sat Jun 04 16:08:08 BST 2016, operations=1.0, operationsPerMinute=51.06382978723404
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 16:08:08 BST 2016, end=Sat Jun 04 16:08:10 BST 2016, operations=1.0, operationsPerMinute=21.375133594584966
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 16:08:10 BST 2016, end=Sat Jun 04 16:08:17 BST 2016, operations=1.0, operationsPerMinute=8.60461781155887
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 16:08:17 BST 2016, end=Sat Jun 04 16:08:44 BST 2016, operations=1.0, operationsPerMinute=2.2309808879303934
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 16:08:44 BST 2016, end=Sat Jun 04 16:08:46 BST 2016, operations=1.0, operationsPerMinute=43.956043956043956
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 16:08:59 BST 2016, end=Sat Jun 04 16:10:59 BST 2016, operations=400.5258946360409, operationsPerMinute=200.26294731802045, mode=normal, start=Sat Jun 04 16:11:01 BST 2016, end=Sat Jun 04 16:15:01 BST 2016, operations=819.628080397104, operationsPerMinute=204.907020099276
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 16:15:08 BST 2016, end=Sat Jun 04 16:17:08 BST 2016, operations=155.30167155038214, operationsPerMinute=77.65083577519107, mode=normal, start=Sat Jun 04 16:17:12 BST 2016, end=Sat Jun 04 16:21:12 BST 2016, operations=309.97407729630777, operationsPerMinute=77.49351932407694
benchmark-name=compress, mod=warmup, start=Sat Jun 04 16:21:15 BST 2016, end=Sat Jun 04 16:23:15 BST 2016, operations=314.53378720492367, operationsPerMinute=157.26689360246183, mode=normal, start=Sat Jun 04 16:23:18 BST 2016, end=Sat Jun 04 16:27:18 BST 2016, operations=608.9402422723467, operationsPerMinute=152.23506056808668
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 16:27:20 BST 2016, end=Sat Jun 04 16:29:20 BST 2016, operations=115.60925240826101, operationsPerMinute=57.80462620413051, mode=normal, start=Sat Jun 04 16:29:26 BST 2016, end=Sat Jun 04 16:33:26 BST 2016, operations=246.87548125005404, operationsPerMinute=61.71887031251351
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 16:33:32 BST 2016, end=Sat Jun 04 16:35:32 BST 2016, operations=205.93100324190047, operationsPerMinute=102.96550162095023, mode=normal, start=Sat Jun 04 16:35:36 BST 2016, end=Sat Jun 04 16:39:36 BST 2016, operations=305.46589144076256, operationsPerMinute=76.36647286019064
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 16:40:15 BST 2016, end=Sat Jun 04 16:42:15 BST 2016, operations=350.39102296447237, operationsPerMinute=175.19551148223618, mode=normal, start=Sat Jun 04 16:42:17 BST 2016, end=Sat Jun 04 16:46:17 BST 2016, operations=704.250247664185, operationsPerMinute=176.06256191604626
benchmark-name=derby, mod=warmup, start=Sat Jun 04 16:47:15 BST 2016, end=Sat Jun 04 16:49:15 BST 2016, operations=261.8915845100696, operationsPerMinute=130.9457922550348, mode=normal, start=Sat Jun 04 16:49:18 BST 2016, end=Sat Jun 04 16:53:18 BST 2016, operations=526.278403892337, operationsPerMinute=131.56960097308425
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 16:53:21 BST 2016, end=Sat Jun 04 16:55:21 BST 2016, operations=172.29363863880846, operationsPerMinute=86.14681931940423, mode=normal, start=Sat Jun 04 16:55:25 BST 2016, end=Sat Jun 04 16:59:25 BST 2016, operations=345.1554396549397, operationsPerMinute=86.28885991373492
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 16:59:29 BST 2016, end=Sat Jun 04 17:01:29 BST 2016, operations=125.30657829497548, operationsPerMinute=62.65328914748774, mode=normal, start=Sat Jun 04 17:01:35 BST 2016, end=Sat Jun 04 17:05:35 BST 2016, operations=252.5477236091133, operationsPerMinute=63.13693090227832
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 17:05:41 BST 2016, end=Sat Jun 04 17:07:41 BST 2016, operations=25.24052258536085, operationsPerMinute=12.620261292680425, mode=normal, start=Sat Jun 04 17:08:08 BST 2016, end=Sat Jun 04 17:12:08 BST 2016, operations=50.41952880736402, operationsPerMinute=12.604882201841004
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 17:12:31 BST 2016, end=Sat Jun 04 17:14:31 BST 2016, operations=69.07899383123052, operationsPerMinute=34.53949691561526, mode=normal, start=Sat Jun 04 17:14:42 BST 2016, end=Sat Jun 04 17:18:42 BST 2016, operations=136.75534843385338, operationsPerMinute=34.188837108463346
