spec.jvm2008.report.run.location=SUNSPACE07
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Tue Jun 28 19:22:53 BST 2016, end=Tue Jun 28 19:22:53 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=scimark.fft.small, mod=warmup, start=Tue Jun 28 20:42:05 BST 2016, end=Tue Jun 28 20:44:05 BST 2016, operations=525.6531698052743, operationsPerMinute=262.82658490263714, mode=normal, start=Tue Jun 28 20:44:06 BST 2016, end=Tue Jun 28 20:48:06 BST 2016, operations=1053.1068086350183, operationsPerMinute=263.2767021587546
benchmark-name=scimark.lu.small, mod=warmup, start=Tue Jun 28 20:48:07 BST 2016, end=Tue Jun 28 20:50:07 BST 2016, operations=375.6878532878319, operationsPerMinute=187.84392664391595, mode=normal, start=Tue Jun 28 20:50:09 BST 2016, end=Tue Jun 28 20:54:09 BST 2016, operations=753.6852576196843, operationsPerMinute=188.42131440492108
benchmark-name=scimark.sor.small, mod=warmup, start=Tue Jun 28 20:54:11 BST 2016, end=Tue Jun 28 20:56:11 BST 2016, operations=245.64334668385894, operationsPerMinute=122.82167334192947, mode=normal, start=Tue Jun 28 20:56:14 BST 2016, end=Tue Jun 28 21:00:14 BST 2016, operations=490.693121056893, operationsPerMinute=122.67328026422325
benchmark-name=scimark.sparse.small, mod=warmup, start=Tue Jun 28 21:00:18 BST 2016, end=Tue Jun 28 21:02:18 BST 2016, operations=305.71155030186424, operationsPerMinute=152.85577515093212, mode=normal, start=Tue Jun 28 21:02:21 BST 2016, end=Tue Jun 28 21:06:21 BST 2016, operations=608.0735651563634, operationsPerMinute=152.01839128909086
benchmark-name=scimark.monte_carlo, mod=warmup, start=Tue Jun 28 21:06:23 BST 2016, end=Tue Jun 28 21:08:23 BST 2016, operations=78.4963591267477, operationsPerMinute=39.24817956337385, mode=normal, start=Tue Jun 28 21:08:33 BST 2016, end=Tue Jun 28 21:12:33 BST 2016, operations=151.71524223701442, operationsPerMinute=37.928810559253606
benchmark-name=serial, mod=warmup, start=Tue Jun 28 21:12:44 BST 2016, end=Tue Jun 28 21:14:44 BST 2016, operations=129.64311800468994, operationsPerMinute=64.82155900234497, mode=normal, start=Tue Jun 28 21:14:51 BST 2016, end=Tue Jun 28 21:18:51 BST 2016, operations=280.52291588263944, operationsPerMinute=70.13072897065986
benchmark-name=sunflow, mod=warmup, start=Tue Jun 28 21:18:57 BST 2016, end=Tue Jun 28 21:20:57 BST 2016, operations=105.31137211657355, operationsPerMinute=52.655686058286776, mode=normal, start=Tue Jun 28 21:21:00 BST 2016, end=Tue Jun 28 21:25:00 BST 2016, operations=215.1110515758271, operationsPerMinute=53.777762893956776
benchmark-name=xml.transform, mod=warmup, start=Tue Jun 28 21:25:33 BST 2016, end=Tue Jun 28 21:27:33 BST 2016, operations=323.5891252912103, operationsPerMinute=161.79456264560514, mode=normal, start=Tue Jun 28 21:27:36 BST 2016, end=Tue Jun 28 21:31:36 BST 2016, operations=653.8746168718167, operationsPerMinute=163.46865421795417
benchmark-name=xml.validation, mod=warmup, start=Tue Jun 28 21:31:40 BST 2016, end=Tue Jun 28 21:33:40 BST 2016, operations=503.35322657798224, operationsPerMinute=251.67661328899112, mode=normal, start=Tue Jun 28 21:33:41 BST 2016, end=Tue Jun 28 21:37:41 BST 2016, operations=1016.9960353194916, operationsPerMinute=254.2490088298729
##-nursultan-##,SUNSPACE07,Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz,4,3984,check,Tue Jun 28 19:22:53 BST 2016,Tue Jun 28 19:22:53 BST 2016,1.0,1276.595744680851,startup.helloworld,Tue Jun 28 19:22:53 BST 2016,Tue Jun 28 19:22:53 BST 2016,1.0,483.8709677419355,startup.compiler.compiler,Tue Jun 28 19:22:53 BST 2016,Tue Jun 28 19:23:15 BST 2016,1.0,2.7316184839517414,startup.compiler.sunflow,Tue Jun 28 19:23:15 BST 2016,Tue Jun 28 19:23:20 BST 2016,1.0,13.172338090010976,startup.compress,Tue Jun 28 19:23:20 BST 2016,Tue Jun 28 19:23:21 BST 2016,1.0,37.336652146857496,startup.crypto.aes,Tue Jun 28 19:23:21 BST 2016,Tue Jun 28 19:23:31 BST 2016,1.0,6.028333165879634,startup.crypto.rsa,Tue Jun 28 19:23:31 BST 2016,Tue Jun 28 19:23:40 BST 2016,1.0,7.09639266706091,startup.crypto.signverify,Tue Jun 28 19:23:40 BST 2016,Tue Jun 28 19:23:47 BST 2016,1.0,8.306797729475287,startup.mpegaudio,Tue Jun 28 19:23:47 BST 2016,Tue Jun 28 19:23:50 BST 2016,1.0,19.62066710268149,startup.scimark.fft,Tue Jun 28 19:23:50 BST 2016,Tue Jun 28 19:23:51 BST 2016,1.0,64.1025641025641,startup.scimark.lu,Tue Jun 28 19:23:51 BST 2016,Tue Jun 28 19:23:52 BST 2016,1.0,49.30156121610518,startup.scimark.monte_carlo,Tue Jun 28 19:23:52 BST 2016,Tue Jun 28 19:23:59 BST 2016,1.0,9.049773755656108,startup.scimark.sor,Tue Jun 28 19:23:59 BST 2016,Tue Jun 28 19:24:01 BST 2016,1.0,32.87671232876713,startup.scimark.sparse,Tue Jun 28 19:24:01 BST 2016,Tue Jun 28 19:24:02 BST 2016,1.0,41.81184668989547,startup.serial,Tue Jun 28 19:24:02 BST 2016,Tue Jun 28 19:24:05 BST 2016,1.0,20.03338898163606,startup.sunflow,Tue Jun 28 19:24:05 BST 2016,Tue Jun 28 19:24:12 BST 2016,1.0,8.472182999152782,startup.xml.transform,Tue Jun 28 19:24:12 BST 2016,Tue Jun 28 19:24:41 BST 2016,1.0,2.0959234289307296,startup.xml.validation,Tue Jun 28 19:24:41 BST 2016,Tue Jun 28 19:24:42 BST 2016,1.0,49.3421052631579,compiler.compiler,Tue Jun 28 19:24:59 BST 2016,Tue Jun 28 19:26:59 BST 2016,354.45712665204945,177.22856332602473,Tue Jun 28 19:27:01 BST 2016,Tue Jun 28 19:31:01 BST 2016,727.0136912325274,181.75342280813186,compiler.sunflow,Tue Jun 28 19:31:07 BST 2016,Tue Jun 28 19:33:07 BST 2016,138.62387124968228,69.31193562484114,Tue Jun 28 19:33:11 BST 2016,Tue Jun 28 19:37:11 BST 2016,275.2128290573064,68.8032072643266,compress,Tue Jun 28 19:37:15 BST 2016,Tue Jun 28 19:39:15 BST 2016,273.67149507086503,136.83574753543252,Tue Jun 28 19:39:18 BST 2016,Tue Jun 28 19:43:18 BST 2016,546.4581988061092,136.6145497015273,crypto.aes,Tue Jun 28 19:43:21 BST 2016,Tue Jun 28 19:45:21 BST 2016,85.92872965085938,42.96436482542969,Tue Jun 28 19:45:29 BST 2016,Tue Jun 28 19:49:29 BST 2016,181.5758506690642,45.39396266726605,crypto.rsa,Tue Jun 28 19:49:37 BST 2016,Tue Jun 28 19:51:37 BST 2016,149.0187638664956,74.5093819332478,Tue Jun 28 19:51:43 BST 2016,Tue Jun 28 19:55:43 BST 2016,296.95096040298876,74.23774010074719,crypto.signverify,Tue Jun 28 19:55:48 BST 2016,Tue Jun 28 19:57:48 BST 2016,252.95759714142068,126.47879857071034,Tue Jun 28 19:57:50 BST 2016,Tue Jun 28 20:01:50 BST 2016,508.6177842598006,127.15444606495015,derby,Tue Jun 28 20:03:20 BST 2016,Tue Jun 28 20:05:20 BST 2016,203.33370476587143,101.66685238293572,Tue Jun 28 20:05:23 BST 2016,Tue Jun 28 20:09:23 BST 2016,406.2545010937522,101.56362527343805,mpegaudio,Tue Jun 28 20:09:27 BST 2016,Tue Jun 28 20:11:27 BST 2016,134.36340745369262,67.18170372684631,Tue Jun 28 20:11:32 BST 2016,Tue Jun 28 20:15:32 BST 2016,270.87436580855905,67.71859145213976,scimark.fft.large,Tue Jun 28 20:15:36 BST 2016,Tue Jun 28 20:17:36 BST 2016,56.294289196777925,28.147144598388962,Tue Jun 28 20:17:50 BST 2016,Tue Jun 28 20:21:50 BST 2016,121.04358566238321,30.260896415595802,scimark.lu.large,Tue Jun 28 20:22:00 BST 2016,Tue Jun 28 20:24:00 BST 2016,11.575720622133456,5.787860311066728,Tue Jun 28 20:24:34 BST 2016,Tue Jun 28 20:28:34 BST 2016,23.2374658141553,5.809366453538825,scimark.sor.large,Tue Jun 28 20:29:13 BST 2016,Tue Jun 28 20:31:13 BST 2016,55.76639057107549,27.883195285537745,Tue Jun 28 20:31:22 BST 2016,Tue Jun 28 20:35:22 BST 2016,111.07604369946938,27.769010924867345,scimark.sparse.large,Tue Jun 28 20:35:32 BST 2016,Tue Jun 28 20:37:32 BST 2016,37.531649975861875,18.765824987930937,Tue Jun 28 20:37:49 BST 2016,Tue Jun 28 20:41:49 BST 2016,75.08267030747116,18.77066757686779,scimark.fft.small,Tue Jun 28 20:42:05 BST 2016,Tue Jun 28 20:44:05 BST 2016,525.6531698052743,262.82658490263714,Tue Jun 28 20:44:06 BST 2016,Tue Jun 28 20:48:06 BST 2016,1053.1068086350183,263.2767021587546,scimark.lu.small,Tue Jun 28 20:48:07 BST 2016,Tue Jun 28 20:50:07 BST 2016,375.6878532878319,187.84392664391595,Tue Jun 28 20:50:09 BST 2016,Tue Jun 28 20:54:09 BST 2016,753.6852576196843,188.42131440492108,scimark.sor.small,Tue Jun 28 20:54:11 BST 2016,Tue Jun 28 20:56:11 BST 2016,245.64334668385894,122.82167334192947,Tue Jun 28 20:56:14 BST 2016,Tue Jun 28 21:00:14 BST 2016,490.693121056893,122.67328026422325,scimark.sparse.small,Tue Jun 28 21:00:18 BST 2016,Tue Jun 28 21:02:18 BST 2016,305.71155030186424,152.85577515093212,Tue Jun 28 21:02:21 BST 2016,Tue Jun 28 21:06:21 BST 2016,608.0735651563634,152.01839128909086,scimark.monte_carlo,Tue Jun 28 21:06:23 BST 2016,Tue Jun 28 21:08:23 BST 2016,78.4963591267477,39.24817956337385,Tue Jun 28 21:08:33 BST 2016,Tue Jun 28 21:12:33 BST 2016,151.71524223701442,37.928810559253606,serial,Tue Jun 28 21:12:44 BST 2016,Tue Jun 28 21:14:44 BST 2016,129.64311800468994,64.82155900234497,Tue Jun 28 21:14:51 BST 2016,Tue Jun 28 21:18:51 BST 2016,280.52291588263944,70.13072897065986,sunflow,Tue Jun 28 21:18:57 BST 2016,Tue Jun 28 21:20:57 BST 2016,105.31137211657355,52.655686058286776,Tue Jun 28 21:21:00 BST 2016,Tue Jun 28 21:25:00 BST 2016,215.1110515758271,53.777762893956776,xml.transform,Tue Jun 28 21:25:33 BST 2016,Tue Jun 28 21:27:33 BST 2016,323.5891252912103,161.79456264560514,Tue Jun 28 21:27:36 BST 2016,Tue Jun 28 21:31:36 BST 2016,653.8746168718167,163.46865421795417,xml.validation,Tue Jun 28 21:31:40 BST 2016,Tue Jun 28 21:33:40 BST 2016,503.35322657798224,251.67661328899112,Tue Jun 28 21:33:41 BST 2016,Tue Jun 28 21:37:41 BST 2016,1016.9960353194916,254.2490088298729
