"","name","scimark.fft.large","scimark.lu.large","scimark.monte_carlo","scimark.sor.large","scimark.sparse.large","sunflow"
"BEDSONTC001","BEDSONTC001",113,111,61,102,118,95
"BEDSONTC002","BEDSONTC002",119,122,41,84,108,44
"BEDSONTC003","BEDSONTC003",126,123,102,95,121,51
"BEDSONTC004","BEDSONTC004",123,114,96,86,124,79
"BEDSONTC005","BEDSONTC005",69,50,92,13,60,20
"BEDSONTC006","BEDSONTC006",121,125,15,105,113,34
"BEDSONTC007","BEDSONTC007",125,121,71,91,116,87
"BEDSONTC008","BEDSONTC008",102,119,22,99,122,12
"BEDSONTC009","BEDSONTC009",61,65,53,40,77,68
"BEDSONTC010","BEDSONTC010",127,124,72,94,127,83
"BEDSONTC011","BEDSONTC011",108,115,93,101,125,104
"BEDSONTC012","BEDSONTC012",120,127,55,107,126,89
"BEDSONTC013","BEDSONTC013",83,105,63,98,119,69
"BEDSONTC014","BEDSONTC014",97,106,49,85,115,60
"BEDSONTC015","BEDSONTC015",88,104,51,74,105,71
"BEDSONTC016","BEDSONTC016",48,109,77,88,102,97
"BEDSONTC017","BEDSONTC017",75,97,54,93,91,48
"BEDSONTC018","BEDSONTC018",25,75,32,30,74,85
"BEDSONTC019","BEDSONTC019",44,20,9,9,100,63
"BEDSONTC020","BEDSONTC020",117,31,78,61,93,54
"BEDSONTC021","BEDSONTC021",87,28,6,45,44,32
"BEDSONTC022","BEDSONTC022",109,112,88,81,123,103
"BEDSONTC023","BEDSONTC023",98,118,105,106,120,107
"BEDSONTC024","BEDSONTC024",38,54,101,23,27,9
"BEDSONTC025","BEDSONTC025",85,41,14,56,24,101
"BEDSONTC026","BEDSONTC026",32,34,104,35,68,39
"BEDSONTC027","BEDSONTC027",28,82,103,50,75,92
"BEDSONTC028","BEDSONTC028",27,90,5,25,20,8
"BEDSONTC029","BEDSONTC029",91,110,70,82,111,82
"BEDSONTC030","BEDSONTC030",122,113,50,100,109,99
"BEDSONTC031","BEDSONTC031",112,108,56,79,112,98
"BEDSONTC032","BEDSONTC032",118,117,39,90,117,55
"BEDSONTC033","BEDSONTC033",56,83,29,32,40,72
"BEDSONTC034","BEDSONTC034",107,116,60,92,69,88
"BEDSONTC035","BEDSONTC035",86,25,25,31,30,2
"BEDSONTC036","BEDSONTC036",101,79,65,24,22,80
"BEDSONTC037","BEDSONTC037",94,88,35,27,51,70
"BEDSONTC038","BEDSONTC038",31,32,57,14,45,86
"BEDSONTC040","BEDSONTC040",65,68,24,28,76,15
"BEDSONTC041","BEDSONTC041",46,66,59,58,46,26
"BEDSONTC042","BEDSONTC042",60,67,46,33,58,62
"BEDSONTC043","BEDSONTC043",74,95,74,78,101,93
"BEDSONTC044","BEDSONTC044",110,53,67,77,104,65
"BEDSONTC045","BEDSONTC045",114,81,97,87,92,91
"BEDSONTC046","BEDSONTC046",42,101,62,67,86,61
"BEDSONTC047","BEDSONTC047",40,102,81,68,103,41
"BEDSONTC048","BEDSONTC048",95,70,98,83,99,45
"BEDSONTC049","BEDSONTC049",66,100,84,104,107,59
"BEDSONTC050","BEDSONTC050",70,92,85,47,57,7
"BEDSONTC051","BEDSONTC051",20,26,27,17,78,33
"BEDSONTC052","BEDSONTC052",105,60,91,65,80,5
"BEDSONTC053","BEDSONTC053",35,22,26,49,81,40
"BEDSONTC054","BEDSONTC054",52,52,17,54,63,38
"BEDSONTC055","BEDSONTC055",99,44,36,37,66,53
"BEDSONTC056","BEDSONTC056",116,36,3,4,35,23
"BEDSONTC057","BEDSONTC057",124,126,1,108,23,1
"BEDSONTC058","BEDSONTC058",78,24,107,55,72,108
"BEDSONTC059","BEDSONTC059",92,91,106,96,106,105
"BEDSONTC060","BEDSONTC060",47,85,87,71,98,64
"BEDSONTC061","BEDSONTC061",64,94,80,64,94,35
"BEDSONTC062","BEDSONTC062",89,99,94,57,85,100
"BEDSONTC063","BEDSONTC063",39,38,2,3,37,31
"BEDSONTC064","BEDSONTC064",67,39,7,1,28,57
"BEDSONTC065","BEDSONTC065",34,23,40,46,70,4
"BEDSONTC066","BEDSONTC066",22,76,38,26,53,30
"BEDSONTC067","BEDSONTC067",106,21,8,75,52,36
"BEDSONTC068","BEDSONTC068",33,80,100,51,83,102
"BEDSONTC069","BEDSONTC069",79,69,75,76,96,94
"BEDSONTC070","BEDSONTC070",115,120,108,103,110,106
"BEDSONTC071","BEDSONTC071",76,96,83,63,87,76
"BEDSONTC072","BEDSONTC072",73,89,95,69,97,77
"BEDSONTC073","BEDSONTC073",81,98,79,80,90,37
"BEDSONTC074","BEDSONTC074",90,86,68,73,95,75
"BEDSONTC075","BEDSONTC075",62,63,82,59,73,84
"BEDSONTC076","BEDSONTC076",72,42,69,89,79,81
"BEDSONTC077","BEDSONTC077",111,72,66,62,84,74
"BEDSONTC078","BEDSONTC078",96,103,86,70,89,96
"BEDSONTC079","BEDSONTC079",45,71,64,66,88,73
"BEDSONTC080","BEDSONTC080",104,107,89,97,114,25
"BEDSONTC081","BEDSONTC081",23,58,99,72,59,90
"BEDSONTC082","BEDSONTC082",54,77,90,60,61,43
"BEDSONTC083","BEDSONTC083",103,37,33,21,25,21
"BEDSONTC084","BEDSONTC084",55,47,21,18,36,42
"BEDSONTC085","BEDSONTC085",36,48,20,5,31,10
"BEDSONTC086","BEDSONTC086",49,57,31,52,39,19
"BEDSONTC087","BEDSONTC087",84,56,52,12,42,13
"BEDSONTC088","BEDSONTC088",53,40,10,53,33,56
"BEDSONTC089","BEDSONTC089",30,43,11,11,43,11
"BEDSONTC090","BEDSONTC090",71,73,23,29,29,66
"BEDSONTC091","BEDSONTC091",41,84,30,6,50,3
"BEDSONTC092","BEDSONTC092",21,62,4,16,48,49
"BEDSONTC093","BEDSONTC093",13,2,118,110,13,125
"BEDSONTC094","BEDSONTC094",59,49,16,10,34,50
"BEDSONTC095","BEDSONTC095",63,30,73,22,62,22
"BEDSONTC096","BEDSONTC096",100,27,58,15,55,27
"BEDSONTC097","BEDSONTC097",68,35,12,19,41,67
"BEDSONTC098","BEDSONTC098",77,33,37,41,21,18
"BEDSONTC099","BEDSONTC099",26,45,28,8,32,24
"BEDSONTC100","BEDSONTC100",57,51,19,7,47,16
"BEDSONTC101","BEDSONTC101",43,59,18,20,38,29
"BEDSONTC102","BEDSONTC102",82,29,13,2,26,6
"BEDSONTC103","BEDSONTC103",14,1,109,109,1,123
"BEDSONTC104","BEDSONTC104",9,10,114,114,8,127
"BEDSONTC106","BEDSONTC106",6,4,124,111,3,110
"BEDSONTC107","BEDSONTC107",2,8,112,113,7,124
"BEDSONTC108","BEDSONTC108",1,5,119,124,12,111
"BEDSONTC109","BEDSONTC109",7,16,128,126,16,129
"BEDSONTC111","BEDSONTC111",18,13,125,116,14,118
"BEDSONTC112","BEDSONTC112",128,128,111,123,128,119
"BEDSONTC113","BEDSONTC113",5,3,130,112,2,116
