name,scimark.fft.large,scimark.lu.large,scimark.monte_carlo,scimark.sor.large,scimark.sparse.large,sunflow
OLDLIB001,45.090138365233571,10.899640255688428,53.155551569273037,37.145585074432169,33.139634631070756,73.545191347904051
OLDLIB002,45.230540046259399,10.333507061420175,76.277062751630808,61.229386404076841,31.470070758215563,90.195601699887419
OLDLIB003,46.302444099864275,10.932488111637774,53.192523604209526,37.216164916354458,32.959833529199543,73.47288074889093
OLDLIB004,45.213511516181946,10.10007776286788,72.124021282764602,58.741813277234726,30.858338072497887,84.98216534806879
OLDLIB005,46.967051001235333,10.254768563161226,75.665971438610867,60.607553777529404,31.207412113663743,90.369313632368474
OLDLIB006,46.639513736312672,8.9745109120685331,71.693952953996757,58.074820151281557,30.555166954632199,80.3840817212795
OLDLIB007,45.153301320402434,10.303655919117695,75.601716825688925,60.787354872252031,31.108560648983556,91.164142720943431
OLDLIB008,46.299903029252881,10.294529283840356,73.461556444506513,60.632228908243214,31.416602731224003,87.242983904379813
OLDLIB009,48.783330348288288,10.220442303780997,75.803948174669429,61.035892049376706,31.252944307827597,88.65634839762275
OLDLIB011,47.888209444854468,10.256972233543099,74.389798479255163,60.134738497581068,30.805665450345288,85.970169200070984
OLDLIB012,43.745262800526234,5.0274012490477009,75.43134459773232,50.585932374279167,29.345518361168086,86.515025121069613
OLDLIB013,31.10981557672055,6.0176402396974069,55.482369623615455,32.612591007765943,18.18301535638394,84.467503354104821
OLDLIB014,43.578832211986537,10.248827073736665,76.141408605450678,60.229853382507763,30.999114051632926,92.318807441559841
OLDLIB015,45.246579473493455,10.152607343561602,71.06766945665558,57.412826812875359,30.462153563404645,80.16564522541465
OLDLIB016,47.769927291618096,10.382342088843163,75.704499192176129,61.370023556026005,31.580019896804281,87.754075860731078
OLDLIB017,47.100873524981495,10.253472615444901,74.175541553804081,59.161206333706183,31.26003242228477,86.936861155945493
OLDLIB018,44.651123181975713,10.759391403102041,49.076777340730132,34.916426040530808,24.402806845124484,55.596949691813371
OLDLIB019,45.250600734037221,9.6779341976578976,66.408362813824809,57.927237557836229,29.920888116516597,70.508098721361137
OLDLIB020,46.445785124835147,10.20845773101847,72.052679496673207,60.088231765062858,30.217972763752059,85.81265427207768
OLDLIB021,47.776314541077149,10.331290944590105,75.708852139936582,59.142955363774277,31.338696671099527,89.108742014826163
OLDLIB023,45.191628228463472,10.291462660709664,74.807780595802456,59.643073441360116,31.154763175183842,89.774054924984753
OLDLIB024,47.935124243956693,10.23995023788865,75.651514618985573,59.665783380375153,30.563670171269237,88.120133006300563
OLDLIB025,45.245927250219722,9.8571323398194153,73.510414088947712,55.807746847581974,29.996677095910037,84.318838075547617
OLDLIB026,44.43960458005288,10.06999833108765,74.513261743921078,58.187455573915209,29.909992366035464,90.158719041240403
OLDLIB027,45.526260285997346,10.765030694668649,52.334144390255929,36.389619180052229,32.889655542610612,69.311674180316899
OLDLIB028,44.912123696166617,10.220935528727569,75.539853341901008,60.613638894039866,30.379985829608959,90.517483878683208
OLDLIB029,44.734958223248668,10.28071312750988,75.75778803923825,59.4452823880628,31.160371648619666,88.535022720588302
OLDLIB030,41.171562043935126,9.6202609981347642,73.460122967644338,52.015636625525929,28.753289447886729,89.280657321743917
