"","name","scimark.fft.large","scimark.lu.large","scimark.monte_carlo","scimark.sor.large","scimark.sparse.large","sunflow"
"OLDLIB001","OLDLIB001",26,2,38,37,1,36
"OLDLIB002","OLDLIB002",22,8,1,2,6,6
"OLDLIB003","OLDLIB003",15,1,37,36,2,37
"OLDLIB004","OLDLIB004",23,30,29,24,20,26
"OLDLIB005","OLDLIB005",12,17,9,10,15,5
"OLDLIB006","OLDLIB006",13,52,32,28,26,31
"OLDLIB007","OLDLIB007",25,10,11,6,18,2
"OLDLIB008","OLDLIB008",16,12,25,7,8,18
"OLDLIB009","OLDLIB009",1,23,5,3,13,12
"OLDLIB011","OLDLIB011",3,16,19,14,22,22
"OLDLIB012","OLDLIB012",35,55,13,35,51,21
"OLDLIB013","OLDLIB013",55,54,36,40,55,28
"OLDLIB014","OLDLIB014",36,20,3,13,19,1
"OLDLIB015","OLDLIB015",20,28,33,30,27,32
"OLDLIB016","OLDLIB016",6,5,8,1,4,16
"OLDLIB017","OLDLIB017",11,18,20,22,12,20
"OLDLIB018","OLDLIB018",30,4,40,39,54,41
"OLDLIB019","OLDLIB019",19,50,35,29,45,38
"OLDLIB020","OLDLIB020",14,24,31,15,38,24
"OLDLIB021","OLDLIB021",5,9,7,23,10,11
"OLDLIB023","OLDLIB023",24,13,17,19,17,9
"OLDLIB024","OLDLIB024",2,21,10,18,25,14
"OLDLIB025","OLDLIB025",21,47,23,31,44,29
"OLDLIB026","OLDLIB026",31,32,18,27,46,7
"OLDLIB027","OLDLIB027",18,3,39,38,3,39
"OLDLIB028","OLDLIB028",28,22,12,9,32,3
"OLDLIB029","OLDLIB029",29,15,6,21,16,13
"OLDLIB030","OLDLIB030",43,51,26,34,52,10
"OLDLIB031","OLDLIB031",34,25,28,12,23,15
"OLDLIB032","OLDLIB032",39,48,34,33,53,33
"OLDLIB033","OLDLIB033",8,19,22,17,11,30
"OLDLIB034","OLDLIB034",7,7,16,4,14,34
"OLDLIB035","OLDLIB035",17,27,24,16,24,23
"OLDLIB036","OLDLIB036",9,6,4,5,7,8
"OLDLIB037","OLDLIB037",33,29,30,26,30,27
"OLDLIB038","OLDLIB038",4,14,15,8,9,19
"OLDLIB039","OLDLIB039",32,11,2,11,5,4
"OLDLIB040","OLDLIB040",27,53,27,32,47,25
"OLDLIB041","OLDLIB041",50,49,21,25,40,35
"OLDLIB042","OLDLIB042",10,26,14,20,21,17
"OLDLIB049","OLDLIB049",37,42,44,48,33,46
"OLDLIB050","OLDLIB050",51,46,54,55,50,54
"OLDLIB053","OLDLIB053",42,33,46,46,39,51
"OLDLIB055","OLDLIB055",54,39,45,50,28,49
"OLDLIB056","OLDLIB056",53,38,41,47,36,44
"OLDLIB060","OLDLIB060",40,31,43,43,29,40
"OLDLIB069","OLDLIB069",38,40,48,49,42,45
"OLDLIB070","OLDLIB070",45,36,52,51,41,42
"OLDLIB071","OLDLIB071",47,37,51,42,37,48
"OLDLIB072","OLDLIB072",49,34,47,41,31,50
"OLDLIB077","OLDLIB077",44,41,49,52,43,43
"OLDLIB083","OLDLIB083",52,35,42,45,35,52
"OLDLIB084","OLDLIB084",46,44,55,53,49,55
"OLDLIB087","OLDLIB087",41,45,53,54,48,53
"OLDLIB088","OLDLIB088",48,43,50,44,34,47
