"","name","scimark.fft.large","scimark.lu.large","scimark.monte_carlo","scimark.sor.large","scimark.sparse.large","sunflow"
"ROBLIB003","ROBLIB003",29,48,47,50,59,47
"ROBLIB004","ROBLIB004",40,44,18,56,51,18
"ROBLIB005","ROBLIB005",75,75,35,39,69,32
"ROBLIB006","ROBLIB006",79,82,88,84,92,101
"ROBLIB007","ROBLIB007",73,90,53,40,62,61
"ROBLIB008","ROBLIB008",82,80,21,57,83,31
"ROBLIB010","ROBLIB010",25,35,40,58,42,20
"ROBLIB011","ROBLIB011",62,74,64,75,66,59
"ROBLIB012","ROBLIB012",88,55,109,94,89,110
"ROBLIB014","ROBLIB014",17,9,15,13,10,11
"ROBLIB016","ROBLIB016",111,71,79,77,68,48
"ROBLIB017","ROBLIB017",14,38,9,41,31,71
"ROBLIB018","ROBLIB018",7,8,81,80,22,73
"ROBLIB020","ROBLIB020",6,14,80,72,16,81
"ROBLIB021","ROBLIB021",74,89,51,73,80,69
"ROBLIB026","ROBLIB026",87,69,110,95,88,106
"ROBLIB027","ROBLIB027",83,88,87,86,82,100
"ROBLIB028","ROBLIB028",56,34,50,23,41,35
"ROBLIB029","ROBLIB029",91,54,46,52,57,78
"ROBLIB030","ROBLIB030",76,81,58,63,61,76
"ROBLIB032","ROBLIB032",24,77,5,82,90,7
"ROBLIB033","ROBLIB033",84,93,78,78,94,77
"ROBLIB036","ROBLIB036",54,65,44,60,77,27
"ROBLIB037","ROBLIB037",22,49,111,61,50,33
"ROBLIB039","ROBLIB039",44,73,84,49,64,63
"ROBLIB040","ROBLIB040",45,51,72,59,60,80
"ROBLIB041","ROBLIB041",2,1,16,7,14,23
"ROBLIB042","ROBLIB042",20,4,22,9,5,50
"ROBLIB043","ROBLIB043",71,64,86,26,49,87
"ROBLIB044","ROBLIB044",3,5,34,6,8,30
"ROBLIB046","ROBLIB046",51,59,57,21,30,22
"ROBLIB047","ROBLIB047",32,26,31,83,78,56
"ROBLIB048","ROBLIB048",46,22,25,3,29,25
"ROBLIB049","ROBLIB049",85,25,17,11,24,49
"ROBLIB051","ROBLIB051",37,40,20,47,58,68
"ROBLIB055","ROBLIB055",53,33,39,28,25,52
"ROBLIB056","ROBLIB056",52,21,1,16,7,34
"ROBLIB057","ROBLIB057",35,17,77,8,9,5
"ROBLIB058","ROBLIB058",77,39,83,62,79,83
"ROBLIB060","ROBLIB060",12,41,60,71,75,74
"ROBLIB062","ROBLIB062",81,76,65,76,67,60
"ROBLIB063","ROBLIB063",30,7,33,14,1,40
"ROBLIB064","ROBLIB064",67,72,7,90,65,4
"ROBLIB065","ROBLIB065",86,62,100,92,86,107
"ROBLIB066","ROBLIB066",43,85,43,37,53,82
"ROBLIB067","ROBLIB067",39,94,32,87,18,62
"ROBLIB068","ROBLIB068",38,61,59,22,33,37
"ROBLIB069","ROBLIB069",72,67,67,64,87,65
"ROBLIB070","ROBLIB070",10,30,76,46,37,67
"ROBLIB073","ROBLIB073",65,66,85,29,63,15
"ROBLIB074","ROBLIB074",34,13,26,15,11,70
"ROBLIB076","ROBLIB076",19,6,6,10,2,6
"ROBLIB077","ROBLIB077",26,45,63,27,48,75
"ROBLIB078","ROBLIB078",9,15,11,19,13,21
"ROBLIB079","ROBLIB079",21,95,61,53,52,90
"ROBLIB081","ROBLIB081",78,86,74,67,93,58
"ROBLIB082","ROBLIB082",41,50,71,68,54,64
"ROBLIB083","ROBLIB083",57,53,52,70,76,38
"ROBLIB084","ROBLIB084",42,87,73,89,70,51
"ROBLIB086","ROBLIB086",23,23,66,74,91,54
"ROBLIB089","ROBLIB089",33,68,49,69,72,55
"ROBLIB090","ROBLIB090",59,42,70,38,32,46
"ROBLIB094","ROBLIB094",80,79,28,85,81,72
"ROBLIB095","ROBLIB095",18,24,12,4,55,79
"ROBLIB096","ROBLIB096",58,52,56,33,39,84
"ROBLIB097","ROBLIB097",69,60,68,81,74,29
"ROBLIB098","ROBLIB098",50,20,10,5,38,17
"ROBLIB100","ROBLIB100",8,2,2,1,4,41
"ROBLIB101","ROBLIB101",68,37,23,34,19,16
"ROBLIB105","ROBLIB105",89,58,105,91,85,108
"ROBLIB107","ROBLIB107",15,16,13,17,12,44
"ROBLIB108","ROBLIB108",66,56,38,35,46,28
"ROBLIB110","ROBLIB110",16,10,19,66,21,1
"ROBLIB111","ROBLIB111",5,18,14,18,15,9
"ROBLIB112","ROBLIB112",4,47,4,31,43,96
"ROBLIB113","ROBLIB113",1,12,3,12,6,8
"ROBLIB114","ROBLIB114",93,31,30,25,73,53
"ROBLIB116","ROBLIB116",55,32,45,36,34,10
"ROBLIB119","ROBLIB119",47,27,62,20,26,57
"ROBLIB120","ROBLIB120",13,3,29,2,3,3
"ROBLIB121","ROBLIB121",63,28,36,48,17,19
"ROBLIB122","ROBLIB122",27,11,8,42,45,45
"ROBLIB124","ROBLIB124",90,78,42,55,35,12
"ROBLIB125","ROBLIB125",28,36,37,44,36,24
"ROBLIB126","ROBLIB126",70,57,41,43,56,26
"ROBLIB127","ROBLIB127",36,70,82,65,71,42
"ROBLIB128","ROBLIB128",92,84,103,97,84,105
"ROBLIB130","ROBLIB130",11,29,27,32,28,13
"ROBLIB132","ROBLIB132",49,43,24,30,27,14
"ROBLIB135","ROBLIB135",31,19,69,51,20,66
"ROBLIB136","ROBLIB136",61,63,54,45,40,2
"ROBLIB138","ROBLIB138",64,92,75,79,47,43
"ROBLIB140","ROBLIB140",48,46,48,24,23,39
"ROBLIB141","ROBLIB141",60,83,55,54,44,36
"ROBLIB143","ROBLIB143",106,108,104,106,104,95
"ROBLIB144","ROBLIB144",96,98,94,100,96,99
"ROBLIB145","ROBLIB145",109,110,92,96,108,85
"ROBLIB147","ROBLIB147",99,101,95,99,103,93
"ROBLIB148","ROBLIB148",108,104,108,93,110,91
"ROBLIB149","ROBLIB149",107,107,98,108,100,104
"ROBLIB150","ROBLIB150",110,96,89,107,99,103
"ROBLIB152","ROBLIB152",102,109,106,102,109,102
"ROBLIB153","ROBLIB153",98,106,93,104,98,98
"ROBLIB155","ROBLIB155",97,111,102,110,106,92
"ROBLIB156","ROBLIB156",103,103,101,111,102,97
"ROBLIB157","ROBLIB157",100,99,99,101,107,86
"ROBLIB158","ROBLIB158",101,102,96,109,101,88
"ROBLIB159","ROBLIB159",94,100,90,103,111,94
"ROBLIB160","ROBLIB160",105,105,97,88,105,109
"ROBLIB161","ROBLIB161",95,97,91,98,97,89
"ROBLIB162","ROBLIB162",104,91,107,105,95,111
