"","name","check","compiler.compiler","compiler.sunflow","compress","crypto.aes","crypto.rsa","crypto.signverify","derby","mpegaudio","scimark.fft.large","scimark.fft.small","scimark.lu.large","scimark.lu.small","scimark.monte_carlo","scimark.sor.large","scimark.sor.small","scimark.sparse.large","scimark.sparse.small","serial","starrtup.crypto.signverify","startup.compiler.compiler","startup.compiler.sunflow","startup.compress","startup.crypto.aes","startup.crypto.rsa","startup.helloworld","startup.mpegaudio","startup.scimark.fft","startup.scimark.lu","startup.scimark.monte_carlo","startup.scimark.sor","startup.scimark.sparse","startup.serial","startup.sunflow","startup.xml.transform","startup.xml.validation","sunflow","xml.transform","xml.validation"
"ROBLIB003","ROBLIB003",106,61,72,61,79,64,77,56,64,60,32,71,57,58,62,62,70,60,46,75,107,88,105,99,101,63,106,102,88,94,83,97,104,100,86,102,53,28,78
"ROBLIB004","ROBLIB004",75,68,67,49,46,54,42,63,47,46,67,69,42,18,71,27,54,33,45,40,29,31,58,66,86,52,88,77,81,83,78,80,71,41,85,53,16,31,23
"ROBLIB005","ROBLIB005",69,66,61,42,40,46,60,33,56,79,61,79,38,36,38,48,74,52,21,39,41,69,71,29,46,62,86,86,85,97,71,76,80,23,100,89,33,51,38
"ROBLIB006","ROBLIB006",59,76,73,60,97,71,69,74,80,74,111,77,78,89,83,83,91,108,94,18,101,82,92,101,85,59,99,102,91,93,101,93,82,57,91,99,99,109,106
"ROBLIB007","ROBLIB007",101,52,90,46,88,100,34,41,28,64,81,83,84,46,35,57,47,42,23,2,61,92,43,21,23,57,74,66,39,51,42,44,54,36,73,53,58,19,76
"ROBLIB008","ROBLIB008",59,53,37,39,53,37,38,53,45,72,36,76,81,20,42,20,78,23,30,91,74,60,86,46,3,27,79,77,81,87,78,90,77,26,79,109,26,9,13
"ROBLIB010","ROBLIB010",98,63,59,34,55,59,54,52,36,55,75,54,67,52,70,46,65,46,33,81,88,106,83,98,87,73,58,89,78,73,47,67,75,35,62,61,51,57,77
"ROBLIB011","ROBLIB011",104,31,46,51,65,50,59,75,48,54,55,70,62,57,65,65,52,64,71,53,23,52,60,79,28,75,55,38,68,55,40,37,39,48,54,58,56,36,51
"ROBLIB012","ROBLIB012",6,106,103,91,101,90,100,105,90,84,97,39,103,105,90,93,83,89,111,93,30,23,98,34,42,6,100,101,98,88,98,105,105,93,72,23,106,103,105
"ROBLIB014","ROBLIB014",82,2,1,3,61,19,39,3,25,13,21,8,20,11,13,8,10,41,14,20,104,75,5,66,10,64,13,19,30,10,14,11,16,28,40,48,10,12,15
