"","name","check","compiler.compiler","compiler.sunflow","compress","crypto.aes","crypto.rsa","crypto.signverify","derby","mpegaudio","scimark.fft.large","scimark.fft.small","scimark.lu.large","scimark.lu.small","scimark.monte_carlo","scimark.sor.large","scimark.sor.small","scimark.sparse.large","scimark.sparse.small","serial","starrtup.crypto.signverify","startup.compiler.compiler","startup.compiler.sunflow","startup.compress","startup.crypto.aes","startup.crypto.rsa","startup.helloworld","startup.mpegaudio","startup.scimark.fft","startup.scimark.lu","startup.scimark.monte_carlo","startup.scimark.sor","startup.scimark.sparse","startup.serial","startup.sunflow","startup.xml.transform","startup.xml.validation","sunflow","xml.transform","xml.validation"
"ROBLIB003","ROBLIB003",94,87,84,4,15,5,18,18,24,12,44,18,11,16,15,23,37,5,20,17,80,94,82,97,26,83,78,33,39,39,17,30,68,107,83,89,41,48,92
"ROBLIB004","ROBLIB004",71,39,20,46,68,48,29,25,29,40,66,19,15,31,35,11,40,32,54,71,52,49,30,46,72,76,47,62,52,57,48,74,72,68,50,50,29,32,47
"ROBLIB005","ROBLIB005",58,63,39,52,49,51,13,55,32,57,42,60,55,45,55,60,54,57,40,56,61,92,90,50,15,62,81,87,95,104,92,90,95,45,79,76,35,34,55
"ROBLIB006","ROBLIB006",60,98,94,73,64,76,71,92,75,81,86,89,79,81,86,86,93,84,85,22,94,82,103,74,99,70,100,98,94,85,58,79,85,76,87,95,102,80,70
"ROBLIB007","ROBLIB007",108,85,103,72,99,109,58,75,53,80,87,92,88,66,59,76,71,67,42,6,86,104,74,42,52,81,93,86,63,79,74,76,77,66,92,79,74,39,95
"ROBLIB008","ROBLIB008",86,86,70,67,73,61,63,84,70,85,61,90,86,38,64,43,87,47,49,102,93,84,100,75,5,56,96,92,98,101,97,103,92,59,96,110,46,19,19
"ROBLIB010","ROBLIB010",20,42,6,7,9,35,42,42,35,20,52,29,23,4,53,34,7,12,2,19,27,33,50,35,11,34,71,62,78,78,60,66,46,24,51,33,1,4,32
"ROBLIB011","ROBLIB011",109,59,75,75,80,70,77,98,71,74,72,85,78,72,77,78,74,77,81,82,49,76,87,98,56,94,79,62,88,81,67,66,63,73,77,86,72,54,78
"ROBLIB012","ROBLIB012",20,108,106,97,109,96,108,108,96,91,107,68,109,110,102,105,91,103,111,103,57,45,105,60,70,25,106,105,104,102,105,108,108,104,91,41,110,107,108
"ROBLIB014","ROBLIB014",102,2,1,8,78,42,64,6,49,31,41,23,45,27,29,25,30,66,30,52,108,95,12,88,22,85,20,33,52,16,30,22,29,60,62,71,28,26,25
"ROBLIB016","ROBLIB016",86,104,104,44,51,54,70,91,85,111,80,82,74,82,81,82,76,83,89,45,89,109,95,95,88,101,80,51,79,84,102,101,90,77,95,67,61,71,88
"ROBLIB017","ROBLIB017",20,25,7,22,8,14,24,38,25,6,16,24,31,17,23,6,11,17,63,78,31,26,30,20,79,17,30,33,52,23,30,16,56,16,57,22,39,20,73
"ROBLIB018","ROBLIB018",52,100,93,82,83,85,84,82,80,19,83,14,83,84,82,83,25,81,78,109,60,71,108,110,108,46,110,111,111,110,111,110,109,47,104,71,78,68,90
"ROBLIB020","ROBLIB020",106,41,60,74,76,79,79,87,77,21,78,33,76,83,75,80,34,74,69,40,75,100,70,48,9,83,53,44,52,60,15,53,48,67,71,61,83,64,82
"ROBLIB021","ROBLIB021",33,40,90,76,82,68,75,90,62,55,24,55,67,54,46,72,77,71,36,17,17,29,47,12,5,21,36,51,39,53,30,66,25,1,59,32,44,21,36
"ROBLIB026","ROBLIB026",20,109,108,98,108,98,105,109,95,90,103,77,108,109,101,104,88,102,108,78,25,38,101,56,83,25,97,105,106,92,104,105,99,98,85,43,107,108,110
"ROBLIB027","ROBLIB027",97,66,100,77,87,86,88,95,82,87,79,91,87,88,88,87,85,85,74,105,103,91,111,103,101,107,109,103,88,82,90,100,97,72,100,109,103,104,100
"ROBLIB028","ROBLIB028",71,32,11,38,71,58,47,100,55,70,3,56,68,64,42,48,58,62,56,60,62,69,30,91,56,97,41,33,39,23,4,66,73,64,67,91,51,11,53
