"","name","scimark.fft.large","scimark.lu.large","scimark.monte_carlo","scimark.sor.large","scimark.sparse.large","sunflow"
"L3-GROUP-STUDY","L3-GROUP-STUDY",2,2,2,2,2,1
"L4-GROUP-STUDY","L4-GROUP-STUDY",1,1,1,1,1,2
