"","name","check","compiler.compiler","compiler.sunflow","compress","crypto.aes","crypto.rsa","crypto.signverify","derby","mpegaudio","scimark.fft.large","scimark.fft.small","scimark.lu.large","scimark.lu.small","scimark.monte_carlo","scimark.sor.large","scimark.sor.small","scimark.sparse.large","scimark.sparse.small","serial","starrtup.crypto.signverify","startup.compiler.compiler","startup.compiler.sunflow","startup.compress","startup.crypto.aes","startup.crypto.rsa","startup.helloworld","startup.mpegaudio","startup.scimark.fft","startup.scimark.lu","startup.scimark.monte_carlo","startup.scimark.sor","startup.scimark.sparse","startup.serial","startup.sunflow","startup.xml.transform","startup.xml.validation","sunflow","xml.transform","xml.validation"
"HOPE01","HOPE01",4,4,2,18,7,23,13,19,10,12,11,21,16,5,4,9,3,12,15,22,2,9,16,13,18,13,17,24,24,24,23,20,19,7,15,12,5,3,6
"HOPE04","HOPE04",15,24,24,23,24,24,23,21,24,24,23,23,23,24,24,24,23,22,24,14,14,19,19,14,19,18,18,17,15,16,14,13,16,16,17,17,24,18,19
"HOPE05","HOPE05",22,22,8,24,14,15,5,18,2,17,16,14,12,8,19,15,20,19,8,23,23,24,24,23,14,24,19,22,17,20,18,20,17,24,22,19,22,2,22
"HOPE06","HOPE06",12,13,10,21,6,3,20,24,16,19,4,17,10,21,11,7,12,20,10,8,3,8,14,3,10,1,1,12,1,5,6,11,7,2,10,2,21,23,11
"HOPE07","HOPE07",4,20,23,13,11,20,22,20,17,16,24,19,15,15,15,23,13,21,16,5,24,23,11,24,24,7,4,6,7,6,12,11,9,13,24,14,14,10,3
"HOPE09","HOPE09",1,2,6,4,5,1,1,15,22,1,15,16,1,22,13,11,10,8,5,9,5,1,1,1,6,15,14,6,11,14,6,3,1,9,7,1,17,12,7
"HOPE10","HOPE10",9,19,15,12,2,16,3,4,3,21,6,15,5,17,20,6,9,3,13,11,16,18,17,16,15,19,22,10,17,15,12,8,21,22,23,24,8,13,24
"HOPE11","HOPE11",9,17,22,22,10,12,6,5,11,9,2,10,2,13,12,12,15,6,19,18,19,15,20,19,23,21,24,23,19,21,20,20,18,23,21,21,9,9,20
"HOPE12","HOPE12",4,12,1,5,15,8,15,11,12,11,7,20,4,23,9,22,1,17,9,6,7,3,2,9,11,4,4,6,1,1,6,8,15,4,4,10,10,5,9
"HOPE13","HOPE13",23,18,16,20,17,11,16,17,21,10,14,13,13,10,22,18,18,9,11,16,21,16,18,18,17,20,15,18,11,19,17,15,20,18,14,16,3,14,15
"HOPE14","HOPE14",13,23,14,10,12,9,11,7,4,5,18,22,14,20,21,16,16,1,7,14,20,7,22,20,20,22,21,15,20,23,24,23,23,20,19,23,18,24,23
"HOPE15","HOPE15",16,11,13,2,8,21,18,6,8,14,8,3,6,19,17,1,11,4,20,4,10,6,2,3,6,4,12,3,7,12,19,3,9,7,12,7,12,15,21
"HOPE16","HOPE16",9,5,3,3,3,7,2,22,20,23,20,24,22,14,23,20,24,16,18,6,6,2,7,10,2,10,8,21,10,2,2,3,3,1,9,13,19,11,14
"HOPE17","HOPE17",19,16,19,17,1,19,9,12,15,2,3,9,11,3,14,21,19,10,12,9,22,22,10,12,8,23,13,11,13,18,16,14,14,17,18,22,6,7,2
"HOPE18","HOPE18",4,15,17,16,23,18,19,16,13,20,9,6,3,7,1,8,8,11,1,2,7,14,12,7,9,7,9,3,7,4,15,15,5,12,5,4,7,22,5
"HOPE19","HOPE19",19,14,12,11,18,13,8,13,19,6,12,1,19,16,8,14,4,14,17,1,15,13,9,2,3,12,7,20,7,8,9,18,3,3,2,4,20,8,10
"HOPE20","HOPE20",21,9,21,15,9,10,10,9,18,13,1,18,21,2,18,17,22,13,2,24,18,21,23,22,21,16,20,15,13,10,6,20,13,21,16,18,4,21,17
"HOPE21","HOPE21",4,6,4,6,22,17,4,10,9,18,13,5,8,6,7,4,21,15,4,12,3,4,5,5,4,2,4,6,22,7,9,8,3,6,13,8,2,1,18
"HOPE23","HOPE23",4,7,18,8,21,5,17,2,1,8,5,12,20,1,5,2,2,24,14,16,11,11,8,11,12,11,11,9,17,8,12,8,11,14,6,4,16,17,8
"HOPE25","HOPE25",13,8,7,19,16,4,21,23,23,4,10,4,24,11,16,10,7,23,22,18,13,12,14,17,12,3,16,15,22,22,20,17,22,11,8,4,11,20,13
"HOPE28","HOPE28",19,21,20,9,4,6,12,3,6,22,22,2,9,4,10,3,6,7,6,21,17,20,21,15,16,17,23,18,22,17,22,24,24,19,20,20,13,6,16
"HOPE29","HOPE29",9,3,9,14,20,14,24,1,7,15,19,11,18,12,3,13,14,18,23,20,1,5,5,6,1,7,9,12,3,13,1,6,5,9,1,9,15,19,4
"HOPE31","HOPE31",17,1,11,7,13,2,14,8,5,7,17,7,17,9,2,19,5,2,21,3,12,17,14,21,22,7,4,1,7,2,6,3,7,4,3,11,1,16,1
"HOPE32","HOPE32",24,10,5,1,19,22,7,14,14,3,21,8,7,18,6,5,17,5,3,13,9,9,5,8,5,13,4,3,3,11,2,3,12,15,11,14,23,4,12
