"","name","scimark.fft.large","scimark.lu.large","scimark.monte_carlo","scimark.sor.large","scimark.sparse.large","sunflow"
"HOPE01","HOPE01",21,15,3,6,5,7
"HOPE04","HOPE04",16,24,24,24,24,24
"HOPE05","HOPE05",14,16,14,16,19,22
"HOPE06","HOPE06",19,20,21,10,10,20
"HOPE07","HOPE07",18,19,10,17,13,17
"HOPE09","HOPE09",2,23,23,19,15,23
"HOPE10","HOPE10",20,13,17,20,8,3
"HOPE11","HOPE11",9,14,8,11,14,11
"HOPE12","HOPE12",5,12,22,7,1,6
"HOPE13","HOPE13",17,18,13,23,22,1
"HOPE14","HOPE14",10,17,20,21,18,5
"HOPE15","HOPE15",4,5,19,18,6,16
"HOPE16","HOPE16",24,22,9,22,23,18
"HOPE17","HOPE17",1,8,6,14,20,13
"HOPE18","HOPE18",15,10,11,2,11,8
"HOPE19","HOPE19",6,2,16,9,7,9
"HOPE20","HOPE20",11,21,4,15,21,14
"HOPE21","HOPE21",22,3,7,3,17,2
"HOPE23","HOPE23",12,6,2,4,2,15
"HOPE25","HOPE25",7,7,18,13,4,21
"HOPE28","HOPE28",23,1,1,12,12,12
"HOPE29","HOPE29",13,9,12,8,9,19
"HOPE31","HOPE31",8,4,5,1,3,4
"HOPE32","HOPE32",3,11,15,5,16,10
